dataset_id,base_seed,lambda,n_samples,n_variables,edge_count,dataset_path,base_spec_path
seed_00_lambda_0p00,0,0.0,1000,10,11,data/datasets/seed_00_lambda_0p00.npz,data/base_specs/seed_00.npz
seed_00_lambda_0p25,0,0.25,1000,10,11,data/datasets/seed_00_lambda_0p25.npz,data/base_specs/seed_00.npz
seed_00_lambda_0p50,0,0.5,1000,10,11,data/datasets/seed_00_lambda_0p50.npz,data/base_specs/seed_00.npz
seed_00_lambda_0p75,0,0.75,1000,10,11,data/datasets/seed_00_lambda_0p75.npz,data/base_specs/seed_00.npz
seed_00_lambda_1p00,0,1.0,1000,10,11,data/datasets/seed_00_lambda_1p00.npz,data/base_specs/seed_00.npz
seed_01_lambda_0p00,1,0.0,1000,10,12,data/datasets/seed_01_lambda_0p00.npz,data/base_specs/seed_01.npz
seed_01_lambda_0p25,1,0.25,1000,10,12,data/datasets/seed_01_lambda_0p25.npz,data/base_specs/seed_01.npz
seed_01_lambda_0p50,1,0.5,1000,10,12,data/datasets/seed_01_lambda_0p50.npz,data/base_specs/seed_01.npz
seed_01_lambda_0p75,1,0.75,1000,10,12,data/datasets/seed_01_lambda_0p75.npz,data/base_specs/seed_01.npz
seed_01_lambda_1p00,1,1.0,1000,10,12,data/datasets/seed_01_lambda_1p00.npz,data/base_specs/seed_01.npz
seed_02_lambda_0p00,2,0.0,1000,10,7,data/datasets/seed_02_lambda_0p00.npz,data/base_specs/seed_02.npz
seed_02_lambda_0p25,2,0.25,1000,10,7,data/datasets/seed_02_lambda_0p25.npz,data/base_specs/seed_02.npz
seed_02_lambda_0p50,2,0.5,1000,10,7,data/datasets/seed_02_lambda_0p50.npz,data/base_specs/seed_02.npz
seed_02_lambda_0p75,2,0.75,1000,10,7,data/datasets/seed_02_lambda_0p75.npz,data/base_specs/seed_02.npz
seed_02_lambda_1p00,2,1.0,1000,10,7,data/datasets/seed_02_lambda_1p00.npz,data/base_specs/seed_02.npz
seed_03_lambda_0p00,3,0.0,1000,10,6,data/datasets/seed_03_lambda_0p00.npz,data/base_specs/seed_03.npz
seed_03_lambda_0p25,3,0.25,1000,10,6,data/datasets/seed_03_lambda_0p25.npz,data/base_specs/seed_03.npz
seed_03_lambda_0p50,3,0.5,1000,10,6,data/datasets/seed_03_lambda_0p50.npz,data/base_specs/seed_03.npz
seed_03_lambda_0p75,3,0.75,1000,10,6,data/datasets/seed_03_lambda_0p75.npz,data/base_specs/seed_03.npz
seed_03_lambda_1p00,3,1.0,1000,10,6,data/datasets/seed_03_lambda_1p00.npz,data/base_specs/seed_03.npz
seed_04_lambda_0p00,4,0.0,1000,10,10,data/datasets/seed_04_lambda_0p00.npz,data/base_specs/seed_04.npz
seed_04_lambda_0p25,4,0.25,1000,10,10,data/datasets/seed_04_lambda_0p25.npz,data/base_specs/seed_04.npz
seed_04_lambda_0p50,4,0.5,1000,10,10,data/datasets/seed_04_lambda_0p50.npz,data/base_specs/seed_04.npz
seed_04_lambda_0p75,4,0.75,1000,10,10,data/datasets/seed_04_lambda_0p75.npz,data/base_specs/seed_04.npz
seed_04_lambda_1p00,4,1.0,1000,10,10,data/datasets/seed_04_lambda_1p00.npz,data/base_specs/seed_04.npz
seed_05_lambda_0p00,5,0.0,1000,10,15,data/datasets/seed_05_lambda_0p00.npz,data/base_specs/seed_05.npz
seed_05_lambda_0p25,5,0.25,1000,10,15,data/datasets/seed_05_lambda_0p25.npz,data/base_specs/seed_05.npz
seed_05_lambda_0p50,5,0.5,1000,10,15,data/datasets/seed_05_lambda_0p50.npz,data/base_specs/seed_05.npz
seed_05_lambda_0p75,5,0.75,1000,10,15,data/datasets/seed_05_lambda_0p75.npz,data/base_specs/seed_05.npz
seed_05_lambda_1p00,5,1.0,1000,10,15,data/datasets/seed_05_lambda_1p00.npz,data/base_specs/seed_05.npz
seed_06_lambda_0p00,6,0.0,1000,10,7,data/datasets/seed_06_lambda_0p00.npz,data/base_specs/seed_06.npz
seed_06_lambda_0p25,6,0.25,1000,10,7,data/datasets/seed_06_lambda_0p25.npz,data/base_specs/seed_06.npz
seed_06_lambda_0p50,6,0.5,1000,10,7,data/datasets/seed_06_lambda_0p50.npz,data/base_specs/seed_06.npz
seed_06_lambda_0p75,6,0.75,1000,10,7,data/datasets/seed_06_lambda_0p75.npz,data/base_specs/seed_06.npz
seed_06_lambda_1p00,6,1.0,1000,10,7,data/datasets/seed_06_lambda_1p00.npz,data/base_specs/seed_06.npz
seed_07_lambda_0p00,7,0.0,1000,10,15,data/datasets/seed_07_lambda_0p00.npz,data/base_specs/seed_07.npz
seed_07_lambda_0p25,7,0.25,1000,10,15,data/datasets/seed_07_lambda_0p25.npz,data/base_specs/seed_07.npz
seed_07_lambda_0p50,7,0.5,1000,10,15,data/datasets/seed_07_lambda_0p50.npz,data/base_specs/seed_07.npz
seed_07_lambda_0p75,7,0.75,1000,10,15,data/datasets/seed_07_lambda_0p75.npz,data/base_specs/seed_07.npz
seed_07_lambda_1p00,7,1.0,1000,10,15,data/datasets/seed_07_lambda_1p00.npz,data/base_specs/seed_07.npz
seed_08_lambda_0p00,8,0.0,1000,10,12,data/datasets/seed_08_lambda_0p00.npz,data/base_specs/seed_08.npz
seed_08_lambda_0p25,8,0.25,1000,10,12,data/datasets/seed_08_lambda_0p25.npz,data/base_specs/seed_08.npz
seed_08_lambda_0p50,8,0.5,1000,10,12,data/datasets/seed_08_lambda_0p50.npz,data/base_specs/seed_08.npz
seed_08_lambda_0p75,8,0.75,1000,10,12,data/datasets/seed_08_lambda_0p75.npz,data/base_specs/seed_08.npz
