dataset_id,base_seed,lambda,n_samples,n_variables,edge_count,cdfm_f1,lingam_f1,cdfm_precision,lingam_precision,cdfm_recall,lingam_recall,cdfm_shd,lingam_shd,cdfm_runtime_sec,lingam_runtime_sec,cdfm_threshold,winner,winner_margin,raw_prediction_path
seed_00_lambda_0p00,0,0.0,1000,10,11,0.761904761904762,1.0,0.8,1.0,0.7272727272727273,1.0,5,0,1.914600200005225,0.2265049000125145,0.7239299053725673,lingam,0.238095238095238,results/raw_predictions/seed_00_lambda_0p00.npz
seed_00_lambda_0p25,0,0.25,1000,10,11,0.9523809523809524,1.0,1.0,1.0,0.9090909090909092,1.0,1,0,1.9008542999945348,0.2032804999907966,0.7137876504805557,lingam,0.0476190476190476,results/raw_predictions/seed_00_lambda_0p25.npz
seed_00_lambda_0p50,0,0.5,1000,10,11,0.7826086956521738,0.8181818181818182,0.75,0.8181818181818182,0.8181818181818182,0.8181818181818182,5,3,1.8477263999957358,0.19922460000088904,0.6950394198256532,lingam,0.035573122529644396,results/raw_predictions/seed_00_lambda_0p50.npz
seed_00_lambda_0p75,0,0.75,1000,10,11,0.761904761904762,0.18181818181818182,0.8,0.18181818181818182,0.7272727272727273,0.18181818181818182,4,12,1.896997799995006,0.22038260000408627,0.6742538057371613,cdfm,0.5800865800865802,results/raw_predictions/seed_00_lambda_0p75.npz
seed_00_lambda_1p00,0,1.0,1000,10,11,0.64,0.0,0.5714285714285714,0.0,0.7272727272727273,0.0,8,14,1.8857814999937546,0.20925010000064503,0.6418932095219101,cdfm,0.64,results/raw_predictions/seed_00_lambda_1p00.npz
seed_01_lambda_0p00,1,0.0,1000,10,12,0.8695652173913043,1.0,0.9090909090909091,1.0,0.8333333333333334,1.0,3,0,1.854855099998531,0.22975849999056663,0.7868484866129865,lingam,0.13043478260869568,results/raw_predictions/seed_01_lambda_0p00.npz
seed_01_lambda_0p25,1,0.25,1000,10,12,0.8799999999999999,1.0,0.8461538461538461,1.0,0.9166666666666666,1.0,3,0,1.8626812999864342,0.21895629999926314,0.7496665697742478,lingam,0.1200000000000001,results/raw_predictions/seed_01_lambda_0p25.npz
seed_01_lambda_0p50,1,0.5,1000,10,12,0.8148148148148148,0.45454545454545453,0.7333333333333333,0.5,0.9166666666666666,0.4166666666666667,5,7,1.938263799995184,0.22311570000601932,0.700503719670173,cdfm,0.36026936026936024,results/raw_predictions/seed_01_lambda_0p50.npz
seed_01_lambda_0p75,1,0.75,1000,10,12,0.6956521739130435,0.34782608695652173,0.7272727272727273,0.36363636363636365,0.6666666666666666,0.3333333333333333,6,9,1.908076699997764,0.2092665000091074,0.7221328183216845,cdfm,0.34782608695652173,results/raw_predictions/seed_01_lambda_0p75.npz
seed_01_lambda_1p00,1,1.0,1000,10,12,0.5599999999999999,0.17391304347826086,0.5384615384615384,0.18181818181818182,0.5833333333333334,0.16666666666666666,9,13,1.8556912999920314,0.20920949999708682,0.7184668590509231,cdfm,0.3860869565217391,results/raw_predictions/seed_01_lambda_1p00.npz
seed_02_lambda_0p00,2,0.0,1000,10,7,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.92561299999943,0.21407970000291243,0.779399615977264,tie,0.0,results/raw_predictions/seed_02_lambda_0p00.npz
seed_02_lambda_0p25,2,0.25,1000,10,7,0.923076923076923,1.0,1.0,1.0,0.8571428571428571,1.0,1,0,1.855485600011889,0.21052419999614358,0.7309445869393386,lingam,0.07692307692307698,results/raw_predictions/seed_02_lambda_0p25.npz
seed_02_lambda_0p50,2,0.5,1000,10,7,0.8571428571428571,0.7692307692307692,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.7142857142857143,2,2,1.8932409999979427,0.22769900001003407,0.7022855076593589,cdfm,0.08791208791208793,results/raw_predictions/seed_02_lambda_0p50.npz
seed_02_lambda_0p75,2,0.75,1000,10,7,0.6,0.5,0.46153846153846156,0.6,0.8571428571428571,0.42857142857142855,7,4,1.872262299992144,0.18852340000739787,0.7440152702423214,cdfm,0.09999999999999998,results/raw_predictions/seed_02_lambda_0p75.npz
seed_02_lambda_1p00,2,1.0,1000,10,7,0.7000000000000001,0.14285714285714285,0.5384615384615384,0.14285714285714285,1.0,0.14285714285714285,6,6,1.878967199998442,0.20649929999490269,0.7246704812537995,cdfm,0.5571428571428572,results/raw_predictions/seed_02_lambda_1p00.npz
seed_03_lambda_0p00,3,0.0,1000,10,6,0.45454545454545453,1.0,0.3125,1.0,0.8333333333333334,1.0,12,0,1.8904518999916036,0.20197680000273976,0.7207583276296436,lingam,0.5454545454545454,results/raw_predictions/seed_03_lambda_0p00.npz
seed_03_lambda_0p25,3,0.25,1000,10,6,0.4166666666666667,1.0,0.2777777777777778,1.0,0.8333333333333334,1.0,13,0,1.8479049000015948,0.220527099998435,0.6973133988522014,lingam,0.5833333333333333,results/raw_predictions/seed_03_lambda_0p25.npz
