source,target
red,ir_1
green,ir_1
blue,ir_1
red,ir_2
green,ir_2
blue,ir_2
red,ir_3
green,ir_3
blue,ir_3
red,vis_1
green,vis_1
blue,vis_1
red,vis_2
green,vis_2
blue,vis_2
red,vis_3
green,vis_3
blue,vis_3
red,current
green,current
blue,current
pol_1,ir_3
pol_2,ir_3
pol_1,vis_3
pol_2,vis_3
pol_1,angle_1
pol_2,angle_2
v_angle_1,angle_1
osr_angle_1,angle_1
v_angle_2,angle_2
osr_angle_2,angle_2
v_c,current
osr_c,current
l_11,ir_1
l_12,ir_1
l_11,vis_1
l_12,vis_1
t_ir_1,ir_1
diode_ir_1,ir_1
t_vis_1,vis_1
diode_vis_1,vis_1
l_21,ir_2
l_22,ir_2
l_21,vis_2
l_22,vis_2
t_ir_2,ir_2
diode_ir_2,ir_2
t_vis_2,vis_2
diode_vis_2,vis_2
l_31,ir_3
l_32,ir_3
l_31,vis_3
l_32,vis_3
t_ir_3,ir_3
diode_ir_3,ir_3
t_vis_3,vis_3
diode_vis_3,vis_3
