pair_id,path,n_samples,raw_column_count,cause_column,effect_column,weight,sha256
pair0001,data/real/tuebingen/pairs_1_0/pair0001.txt,349,2,0,1,0.166,98f2c6117515788f5c23bf03aeddb496bcee748b3bfd701909a9051e3dbbd9c9
pair0002,data/real/tuebingen/pairs_1_0/pair0002.txt,349,2,0,1,0.166,19c65fd45f969015e5f2d8f6a860536a27b9cc9759f5e6d55edc92947f106c17
pair0003,data/real/tuebingen/pairs_1_0/pair0003.txt,349,2,0,1,0.167,e52b72e97fe8db1b5465a7e5903f0a74b4cdd65103c1522c81d22eadee9d8319
pair0004,data/real/tuebingen/pairs_1_0/pair0004.txt,349,2,0,1,0.166,3932e6e3ebf35c0397a79ef905fdb6ed39a4521c96aa59ba99a6667f69ae038d
pair0005,data/real/tuebingen/pairs_1_0/pair0005.txt,4177,2,0,1,0.143,5bea2c4298fd2e0356f8217d966e6d3cd5a8b70e56da082f3fb7b4ad6aaa7f65
pair0006,data/real/tuebingen/pairs_1_0/pair0006.txt,4177,2,0,1,0.143,960f6ee25ca403ca11c5e9f1018818b34adbcbcf13bbe4b86a39d0c7e48edd6b
pair0007,data/real/tuebingen/pairs_1_0/pair0007.txt,4177,2,0,1,0.143,83f384ed9ee3e56f76d99118103b76bbd86a0c0e0214353815171757bb8fc55e
pair0008,data/real/tuebingen/pairs_1_0/pair0008.txt,4177,2,0,1,0.143,dacd621e6ccf04a12de75320ac62e13204b7b75ffea0d6db5e7b67a6e553a141
pair0009,data/real/tuebingen/pairs_1_0/pair0009.txt,4177,2,0,1,0.143,484d31c117bdbe42f51d753fb367b4feb686630514f5bb3be404c7d51fca0510
pair0010,data/real/tuebingen/pairs_1_0/pair0010.txt,4177,2,0,1,0.143,ca6f83fac2ceff26f3f13887fdfdc37170ad7e4b52870a10cfe2f02e251fa692
pair0011,data/real/tuebingen/pairs_1_0/pair0011.txt,4177,2,0,1,0.142,4a6ef1bc964ee4822ffb24a97c353db2e4280ab187d669d1f7abd77d67fcbdc2
pair0012,data/real/tuebingen/pairs_1_0/pair0012.txt,5000,2,0,1,0.5,52394a0af321bc41c935f6f7398c0b24b0dd1fc7c63f06369520ce2912f75553
