dataset_id,stratum,base_seed,lambda,n_samples,n_variables,mechanism,noise,edge_count,dataset_path,base_spec_path
router_ood_tanh_seed_1000_lambda_0p00,router_ood_tanh,1000,0.0,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1000_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1000.npz
router_ood_tanh_seed_1000_lambda_0p25,router_ood_tanh,1000,0.25,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1000_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1000.npz
router_ood_tanh_seed_1000_lambda_0p50,router_ood_tanh,1000,0.5,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1000_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1000.npz
router_ood_tanh_seed_1000_lambda_0p75,router_ood_tanh,1000,0.75,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1000_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1000.npz
router_ood_tanh_seed_1000_lambda_1p00,router_ood_tanh,1000,1.0,1000,10,tanh_additive,laplace,9,data/synthetic/datasets/router_ood_tanh_seed_1000_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1000.npz
router_ood_tanh_seed_1001_lambda_0p00,router_ood_tanh,1001,0.0,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1001_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1001.npz
router_ood_tanh_seed_1001_lambda_0p25,router_ood_tanh,1001,0.25,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1001_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1001.npz
router_ood_tanh_seed_1001_lambda_0p50,router_ood_tanh,1001,0.5,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1001_lambda_0p50.npz,data/synthetic/base_specs/router_ood_tanh_seed_1001.npz
router_ood_tanh_seed_1001_lambda_0p75,router_ood_tanh,1001,0.75,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1001_lambda_0p75.npz,data/synthetic/base_specs/router_ood_tanh_seed_1001.npz
router_ood_tanh_seed_1001_lambda_1p00,router_ood_tanh,1001,1.0,1000,10,tanh_additive,laplace,7,data/synthetic/datasets/router_ood_tanh_seed_1001_lambda_1p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1001.npz
router_ood_tanh_seed_1002_lambda_0p00,router_ood_tanh,1002,0.0,1000,10,tanh_additive,laplace,14,data/synthetic/datasets/router_ood_tanh_seed_1002_lambda_0p00.npz,data/synthetic/base_specs/router_ood_tanh_seed_1002.npz
router_ood_tanh_seed_1002_lambda_0p25,router_ood_tanh,1002,0.25,1000,10,tanh_additive,laplace,14,data/synthetic/datasets/router_ood_tanh_seed_1002_lambda_0p25.npz,data/synthetic/base_specs/router_ood_tanh_seed_1002.npz
