dataset_id,n_samples,n_variables,cdfm_f1,cdfm_precision,cdfm_recall,cdfm_shd,cdfm_auroc,cdfm_threshold,cdfm_runtime_sec,lingam_f1,lingam_precision,lingam_recall,lingam_shd,lingam_runtime_sec,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,feature_runtime_sec,router_defer_probability,router_prediction,selected_solver,router_target,hybrid_f1,oracle_f1,lingam_failure,router_failure
uniform_red_strong,1000,20,0.6363636363636364,0.7777777777777778,0.5384615384615384,23,0.9632303180690276,0.879075430485584,5.604816699982621,0.5194805194805194,0.5263157894736842,0.5128205128205128,35,1.5488572999893222,0.1050042677641305,0.9329583139398018,0.1708047723050213,0.1678665343378301,0.0177291867497239,0.021113891195358,0.0793485568073523,0.2315887000004295,0.7342271995248976,1,DirectLiNGAM,0,0.5194805194805194,0.6363636363636364,,
uniform_green_strong,1000,20,0.8181818181818181,1.0,0.6923076923076923,12,0.9484171742236258,0.8789586735855586,5.245802400022512,0.4864864864864864,0.5142857142857142,0.4615384615384615,33,1.4006578999978956,0.0569718871248799,0.9275580515790092,0.1675036418299074,0.1654492685258229,0.0061098329352793,0.0118112880251134,0.0525934269907969,0.1904087000002619,0.890293103413113,1,DirectLiNGAM,0,0.4864864864864864,0.8181818181818181,,
uniform_blue_strong,1000,20,0.7301587301587301,0.9583333333333334,0.5897435897435898,17,0.972554327393037,0.8794210037801673,4.484373399987817,0.6567164179104477,0.7857142857142857,0.5641025641025641,22,1.4664237000106368,0.0685152312995781,0.9219117327745596,0.1704807280164806,0.1679879650782097,0.0041342385672032,0.0072073547282677,0.0508382465147714,0.1885515000030864,0.8832436888716264,1,DirectLiNGAM,0,0.6567164179104477,0.7301587301587301,,
uniform_v_c_strong,1000,20,0.6875,0.88,0.5641025641025641,19,0.9251823445371832,0.8776495436695388,4.379327600006945,0.6857142857142857,0.7741935483870968,0.6153846153846154,22,1.533394900005078,0.1636898727388517,0.9113975984205884,0.168516416451054,0.1668732768005255,0.0182628513097721,0.0237730404704244,0.0772887650412853,0.1907566000008955,0.5630756013280278,1,DirectLiNGAM,0,0.6857142857142857,0.6875,,
uniform_t_ir_1_strong,1000,20,0.6451612903225806,0.8695652173913043,0.5128205128205128,20,0.9284156703511542,0.8883825373013744,4.570737600006396,0.430379746835443,0.425,0.4358974358974359,39,1.5692790999892168,0.160222860318501,0.8736463438275296,0.1664971830238558,0.1659227756171843,0.0157106693981751,0.0275507592470375,0.0754084180736938,0.2055805000127293,0.5881439537914839,1,DirectLiNGAM,0,0.430379746835443,0.6451612903225806,,
uniform_t_ir_2_strong,1000,20,0.7213114754098361,1.0,0.5641025641025641,17,0.9258590871494098,0.8713932844101294,4.534853599994676,0.3287671232876712,0.3529411764705882,0.3076923076923077,42,1.4956365000107326,0.1223389982302195,0.922755653842354,0.1653682216604514,0.1654975691346663,0.0331999028683384,0.030365296932772,0.0846662754569879,0.2209842000156641,0.5792341562510975,1,DirectLiNGAM,0,0.3287671232876712,0.7213114754098361,,
uniform_t_ir_3_strong,1000,20,0.6666666666666667,0.875,0.5384615384615384,20,0.9136777201293332,0.8864428213415928,4.730366300005699,0.7164179104477612,0.8571428571428571,0.6153846153846154,19,1.588578900002176,0.1469039297413617,0.9357238767454548,0.1623203268768778,0.1619615407755796,0.0279331580209177,0.0360630297723892,0.1084885187325215,0.1959530999884009,0.4688129784482268,0,CDFM,1,0.6666666666666667,0.7164179104477612,,
uniform_t_vis_1_strong,1000,20,0.7384615384615384,0.9230769230769232,0.6153846153846154,17,0.9514249191668546,0.8761106686694126,4.460306299995864,0.6666666666666667,0.7666666666666667,0.5897435897435898,22,1.4031412999902386,0.1536326254685452,0.884225080108806,0.1616019090237277,0.1615100810176025,0.0283250977659166,0.0300926284310714,0.0923058629923606,0.1992594000184908,0.4619037497174307,0,CDFM,0,0.7384615384615384,0.7384615384615384,,
uniform_t_vis_2_strong,1000,20,0.6666666666666667,0.8148148148148148,0.5641025641025641,20,0.9435295886908792,0.8779933469265477,4.587468200013973,0.3414634146341463,0.3255813953488372,0.358974358974359,46,1.5661939999845345,0.1672810577526184,0.8864595703959657,0.1708016449113019,0.1704661137759494,0.0293980891852098,0.0268506389858279,0.0681751985603525,0.1942064000177197,0.5195829657738267,1,DirectLiNGAM,0,0.3414634146341463,0.6666666666666667,,
uniform_t_vis_3_strong,1000,20,0.6984126984126983,0.9166666666666666,0.5641025641025641,18,0.930671479058576,0.8779862234743445,4.527423499996075,0.611111111111111,0.6666666666666666,0.5641025641025641,26,1.4538662999984808,0.1316659436834307,0.9165030493612524,0.162919299018914,0.1628013345028779,0.0251082472015498,0.022740270722843,0.0689083091830279,0.1813498999981675,0.6158906505560489,1,DirectLiNGAM,0,0.611111111111111,0.6984126984126983,,
