dataset_id,stratum,base_seed,lambda,n_samples,n_variables,mechanism,noise,edge_count,cdfm_f1,lingam_f1,cdfm_precision,lingam_precision,cdfm_recall,lingam_recall,cdfm_shd,lingam_shd,cdfm_runtime_sec,lingam_runtime_sec,feature_runtime_sec,cdfm_threshold,winner,winner_margin,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,router_defer_probability,router_prediction,router_target,selected_solver,hybrid_f1,oracle_f1,raw_prediction_path
router_ood_student_t_seed_2000_lambda_0p00,router_ood_student_t,2000,0.0,1000,10,rff,student_t_df3,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,2.4577721999958158,0.2714832999918144,0.20963480000500567,0.7845835292162187,tie,0.0,1.2030306196687748,21.128499513989368,0.14423815905762521,0.14428358535025204,-0.007395479981538653,-0.010528042005773595,0.11235474501504139,0.9989826765153902,1,0,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2000_lambda_0p00.npz
router_ood_student_t_seed_2000_lambda_0p25,router_ood_student_t,2000,0.25,1000,10,rff,student_t_df3,8,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1,0,2.422547399997711,0.22333109998726286,0.21054249998996966,0.728550462332492,lingam,0.05882352941176472,1.3239387646529612,21.453964266818847,0.11239147520157758,0.1127136735136735,0.007216848724305438,0.004475778474510525,0.13154041161643534,0.9901310987914237,1,1,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2000_lambda_0p25.npz
router_ood_student_t_seed_2000_lambda_0p50,router_ood_student_t,2000,0.5,1000,10,rff,student_t_df3,8,0.8421052631578948,0.631578947368421,0.7272727272727273,0.5454545454545454,1.0,0.75,3,5,2.4985731999913696,0.2260559000133071,0.18712200000300072,0.7114967928571981,cdfm,0.21052631578947378,1.3705843427653845,21.51172183117377,0.07575217251563066,0.07377580924247591,0.009034715328338666,0.017589211044337503,0.17465974703989934,0.9491101191093271,1,0,DirectLiNGAM,0.631578947368421,0.8421052631578948,results/synthetic/raw_predictions/router_ood_student_t_seed_2000_lambda_0p50.npz
router_ood_student_t_seed_2000_lambda_0p75,router_ood_student_t,2000,0.75,1000,10,rff,student_t_df3,8,0.75,0.16666666666666666,0.75,0.25,0.75,0.125,4,8,2.382314000016777,0.36282779998146,0.21605809999164194,0.7382185475421413,cdfm,0.5833333333333334,1.3573312734179943,20.77607076781429,0.05867352526132191,0.06919425826092493,-0.006588194193343039,0.026144409855136115,0.3116715435273546,0.7271413493744938,1,0,DirectLiNGAM,0.16666666666666666,0.75,results/synthetic/raw_predictions/router_ood_student_t_seed_2000_lambda_0p75.npz
router_ood_student_t_seed_2000_lambda_1p00,router_ood_student_t,2000,1.0,1000,10,rff,student_t_df3,8,0.9333333333333333,0.13333333333333333,1.0,0.14285714285714285,0.875,0.125,1,9,2.7830395000055432,0.3203709999797866,0.23736929998267442,0.7749547372292361,cdfm,0.8,1.3445551466016386,19.771032715618794,0.06854935842264004,0.08286481166481166,0.000538893557852693,0.03757600203037117,0.4319825595053569,0.23918533865524813,0,0,CDFM,0.9333333333333333,0.9333333333333333,results/synthetic/raw_predictions/router_ood_student_t_seed_2000_lambda_1p00.npz
router_ood_student_t_seed_2001_lambda_0p00,router_ood_student_t,2001,0.0,1000,10,rff,student_t_df3,10,0.8571428571428572,1.0,0.8181818181818182,1.0,0.9,1.0,3,0,2.3436565999872983,0.2656045999901835,0.21750909998081625,0.8091299023780851,lingam,0.1428571428571428,0.597747940545636,9.034673718994862,0.1908241134881962,0.18159331172664506,-0.022365334552141306,-0.05951940485426231,0.012870822201928188,0.9867901132303405,1,1,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2001_lambda_0p00.npz
router_ood_student_t_seed_2001_lambda_0p25,router_ood_student_t,2001,0.25,1000,10,rff,student_t_df3,10,0.8181818181818182,1.0,0.75,1.0,0.9,1.0,4,0,2.363041400007205,0.24084089999087155,0.1927477999997791,0.7727275664230353,lingam,0.18181818181818177,0.5944111691944239,9.000012825533876,0.14494614528299424,0.13944842451509118,-0.004957325193094761,-0.024665090165841484,0.0747779550116824,0.9316662545033307,1,1,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2001_lambda_0p25.npz
router_ood_student_t_seed_2001_lambda_0p50,router_ood_student_t,2001,0.5,1000,10,rff,student_t_df3,10,0.8000000000000002,0.5454545454545454,0.8,0.5,0.8,0.6,4,7,2.320784699986689,0.22961030001170002,0.21271880000131205,0.7478871002308362,cdfm,0.25454545454545474,0.6023341487715643,8.810918554345644,0.08713146645635929,0.08345918425918424,0.011176310144756042,0.021615338142759188,0.21552087878094553,0.397460299191393,0,0,CDFM,0.8000000000000002,0.8000000000000002,results/synthetic/raw_predictions/router_ood_student_t_seed_2001_lambda_0p50.npz
router_ood_student_t_seed_2001_lambda_0p75,router_ood_student_t,2001,0.75,1000,10,rff,student_t_df3,10,0.6153846153846154,0.3157894736842105,0.5,0.3333333333333333,0.8,0.3,9,9,2.2641361999849323,0.2317242000135593,0.19904889998724684,0.6705589019769578,cdfm,0.2995951417004049,0.5864707726990399,8.113529914751638,0.06311232852685729,0.08747309973976641,0.011062095862544759,0.03874072577159668,0.24070401047964637,0.21068002903005154,0,0,CDFM,0.6153846153846154,0.6153846153846154,results/synthetic/raw_predictions/router_ood_student_t_seed_2001_lambda_0p75.npz
router_ood_student_t_seed_2001_lambda_1p00,router_ood_student_t,2001,1.0,1000,10,rff,student_t_df3,10,0.6666666666666666,0.2105263157894737,0.5714285714285714,0.2222222222222222,0.8,0.2,7,10,2.3827646000136156,0.22783729998627678,0.20625920000020415,0.7256687413868632,cdfm,0.45614035087719296,0.54300616949803,7.334751495811891,0.0748766845106304,0.10803840483840485,-4.493513987173889e-05,0.061583519815937716,0.4718177317777132,0.029644974952652146,0,0,CDFM,0.6666666666666666,0.6666666666666666,results/synthetic/raw_predictions/router_ood_student_t_seed_2001_lambda_1p00.npz
router_ood_student_t_seed_2002_lambda_0p00,router_ood_student_t,2002,0.0,1000,10,rff,student_t_df3,10,0.9523809523809523,1.0,0.9090909090909091,1.0,1.0,1.0,1,0,2.230793499998981,0.23417770001105964,0.19723630000953563,0.8174357039954433,lingam,0.04761904761904767,0.42865030643022467,6.486716091372875,0.27498265282366585,0.25952246565579906,-0.021099775171664666,-0.050018708507712326,0.014331252406582578,0.9960189954600336,1,1,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2002_lambda_0p00.npz
router_ood_student_t_seed_2002_lambda_0p25,router_ood_student_t,2002,0.25,1000,10,rff,student_t_df3,10,0.9523809523809523,1.0,0.9090909090909091,1.0,1.0,1.0,1,0,2.299256800004514,0.23218849999830127,0.2005191000062041,0.8144614814227995,lingam,0.04761904761904767,0.43089571692735895,6.269427520929556,0.2259655621599697,0.22196606863273532,0.0003346295209288011,-0.015165075677129028,0.08405003907674526,0.966312709170235,1,1,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2002_lambda_0p25.npz
router_ood_student_t_seed_2002_lambda_0p50,router_ood_student_t,2002,0.5,1000,10,rff,student_t_df3,10,0.9523809523809523,0.761904761904762,0.9090909090909091,0.7272727272727273,1.0,0.8,1,4,2.347010700003011,0.26874689999385737,0.23758950000046752,0.800907618913159,cdfm,0.19047619047619035,0.4452183246863729,6.233328462102682,0.16470140058782515,0.16383608303608305,0.05819988215691553,0.05256849150035821,0.1942746158437395,0.4526367874683121,0,0,CDFM,0.9523809523809523,0.9523809523809523,results/synthetic/raw_predictions/router_ood_student_t_seed_2002_lambda_0p50.npz
router_ood_student_t_seed_2002_lambda_0p75,router_ood_student_t,2002,0.75,1000,10,rff,student_t_df3,10,0.7272727272727272,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.8,0.4,6,10,2.440637199993944,0.2734987000003457,0.19694120000349358,0.7874112264499327,cdfm,0.39393939393939387,0.4479324149783662,5.933086623699386,0.12393192674376756,0.1314232178232178,0.027949279316648038,0.06148872343400221,0.34920543117474145,0.09941703019974144,0,0,CDFM,0.7272727272727272,0.7272727272727272,results/synthetic/raw_predictions/router_ood_student_t_seed_2002_lambda_0p75.npz
router_ood_student_t_seed_2002_lambda_1p00,router_ood_student_t,2002,1.0,1000,10,rff,student_t_df3,10,0.761904761904762,0.3333333333333333,0.7272727272727273,0.2857142857142857,0.8,0.4,4,11,2.3971008000080474,0.2291003999998793,0.22865569998975843,0.7930896549204794,cdfm,0.42857142857142866,0.4861297573292604,5.428171634090146,0.10860078067254993,0.12195754809088147,0.02911470420457362,0.09187191997113987,0.48214081299762146,0.008533763778756125,0,0,CDFM,0.761904761904762,0.761904761904762,results/synthetic/raw_predictions/router_ood_student_t_seed_2002_lambda_1p00.npz
router_ood_student_t_seed_2003_lambda_0p00,router_ood_student_t,2003,0.0,1000,10,rff,student_t_df3,11,0.8695652173913043,1.0,0.8333333333333334,1.0,0.9090909090909091,1.0,3,0,2.651758099993458,0.24809529999038205,0.1929799999925308,0.803847381988912,lingam,0.13043478260869568,0.4560870867652554,9.107014001275093,0.1971775123469591,0.18450764690764693,-0.01806162799095258,-0.16951122059159235,0.06314782358879362,0.9884395410227277,1,1,DirectLiNGAM,1.0,1.0,results/synthetic/raw_predictions/router_ood_student_t_seed_2003_lambda_0p00.npz
