task_id,split,domain,mechanism,noise,task_index,graph_seed,lambda,n_samples,n_variables,path
train_src_rff_laplace_0000,train,src_rff_laplace,rff,laplace,0,100001,0.0,1000,10,data/tasks/train_src_rff_laplace_0000.npz
train_src_rff_gaussian_0001,train,src_rff_gaussian,rff,gaussian,1,100002,0.25,1000,10,data/tasks/train_src_rff_gaussian_0001.npz
train_src_tanh_laplace_0002,train,src_tanh_laplace,tanh,laplace,2,100003,0.5,1000,10,data/tasks/train_src_tanh_laplace_0002.npz
train_src_tanh_gaussian_0003,train,src_tanh_gaussian,tanh,gaussian,3,100004,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0003.npz
train_src_softsign_laplace_0004,train,src_softsign_laplace,softsign,laplace,4,100005,1.0,1000,10,data/tasks/train_src_softsign_laplace_0004.npz
train_src_interaction_studentt8_0005,train,src_interaction_studentt8,interaction,student_t8,5,100006,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0005.npz
train_src_rff_laplace_0006,train,src_rff_laplace,rff,laplace,6,100007,0.25,1000,10,data/tasks/train_src_rff_laplace_0006.npz
train_src_rff_gaussian_0007,train,src_rff_gaussian,rff,gaussian,7,100008,0.5,1000,10,data/tasks/train_src_rff_gaussian_0007.npz
train_src_tanh_laplace_0008,train,src_tanh_laplace,tanh,laplace,8,100009,0.75,1000,10,data/tasks/train_src_tanh_laplace_0008.npz
train_src_tanh_gaussian_0009,train,src_tanh_gaussian,tanh,gaussian,9,100010,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0009.npz
train_src_softsign_laplace_0010,train,src_softsign_laplace,softsign,laplace,10,100011,0.0,1000,10,data/tasks/train_src_softsign_laplace_0010.npz
train_src_interaction_studentt8_0011,train,src_interaction_studentt8,interaction,student_t8,11,100012,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0011.npz
train_src_rff_laplace_0012,train,src_rff_laplace,rff,laplace,12,100013,0.5,1000,10,data/tasks/train_src_rff_laplace_0012.npz
train_src_rff_gaussian_0013,train,src_rff_gaussian,rff,gaussian,13,100014,0.75,1000,10,data/tasks/train_src_rff_gaussian_0013.npz
train_src_tanh_laplace_0014,train,src_tanh_laplace,tanh,laplace,14,100015,1.0,1000,10,data/tasks/train_src_tanh_laplace_0014.npz
train_src_tanh_gaussian_0015,train,src_tanh_gaussian,tanh,gaussian,15,100016,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0015.npz
train_src_softsign_laplace_0016,train,src_softsign_laplace,softsign,laplace,16,100017,0.25,1000,10,data/tasks/train_src_softsign_laplace_0016.npz
train_src_interaction_studentt8_0017,train,src_interaction_studentt8,interaction,student_t8,17,100018,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0017.npz
train_src_rff_laplace_0018,train,src_rff_laplace,rff,laplace,18,100019,0.75,1000,10,data/tasks/train_src_rff_laplace_0018.npz
train_src_rff_gaussian_0019,train,src_rff_gaussian,rff,gaussian,19,100020,1.0,1000,10,data/tasks/train_src_rff_gaussian_0019.npz
train_src_tanh_laplace_0020,train,src_tanh_laplace,tanh,laplace,20,100021,0.0,1000,10,data/tasks/train_src_tanh_laplace_0020.npz
train_src_tanh_gaussian_0021,train,src_tanh_gaussian,tanh,gaussian,21,100022,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0021.npz
train_src_softsign_laplace_0022,train,src_softsign_laplace,softsign,laplace,22,100023,0.5,1000,10,data/tasks/train_src_softsign_laplace_0022.npz
train_src_interaction_studentt8_0023,train,src_interaction_studentt8,interaction,student_t8,23,100024,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0023.npz
train_src_rff_laplace_0024,train,src_rff_laplace,rff,laplace,24,100025,1.0,1000,10,data/tasks/train_src_rff_laplace_0024.npz
train_src_rff_gaussian_0025,train,src_rff_gaussian,rff,gaussian,25,100026,0.0,1000,10,data/tasks/train_src_rff_gaussian_0025.npz
train_src_tanh_laplace_0026,train,src_tanh_laplace,tanh,laplace,26,100027,0.25,1000,10,data/tasks/train_src_tanh_laplace_0026.npz
train_src_tanh_gaussian_0027,train,src_tanh_gaussian,tanh,gaussian,27,100028,0.5,1000,10,data/tasks/train_src_tanh_gaussian_0027.npz
train_src_softsign_laplace_0028,train,src_softsign_laplace,softsign,laplace,28,100029,0.75,1000,10,data/tasks/train_src_softsign_laplace_0028.npz
train_src_interaction_studentt8_0029,train,src_interaction_studentt8,interaction,student_t8,29,100030,1.0,1000,10,data/tasks/train_src_interaction_studentt8_0029.npz
train_src_rff_laplace_0030,train,src_rff_laplace,rff,laplace,30,100031,0.0,1000,10,data/tasks/train_src_rff_laplace_0030.npz
train_src_rff_gaussian_0031,train,src_rff_gaussian,rff,gaussian,31,100032,0.25,1000,10,data/tasks/train_src_rff_gaussian_0031.npz
train_src_tanh_laplace_0032,train,src_tanh_laplace,tanh,laplace,32,100033,0.5,1000,10,data/tasks/train_src_tanh_laplace_0032.npz
train_src_tanh_gaussian_0033,train,src_tanh_gaussian,tanh,gaussian,33,100034,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0033.npz
train_src_softsign_laplace_0034,train,src_softsign_laplace,softsign,laplace,34,100035,1.0,1000,10,data/tasks/train_src_softsign_laplace_0034.npz
train_src_interaction_studentt8_0035,train,src_interaction_studentt8,interaction,student_t8,35,100036,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0035.npz
train_src_rff_laplace_0036,train,src_rff_laplace,rff,laplace,36,100037,0.25,1000,10,data/tasks/train_src_rff_laplace_0036.npz
train_src_rff_gaussian_0037,train,src_rff_gaussian,rff,gaussian,37,100038,0.5,1000,10,data/tasks/train_src_rff_gaussian_0037.npz
train_src_tanh_laplace_0038,train,src_tanh_laplace,tanh,laplace,38,100039,0.75,1000,10,data/tasks/train_src_tanh_laplace_0038.npz
train_src_tanh_gaussian_0039,train,src_tanh_gaussian,tanh,gaussian,39,100040,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0039.npz
train_src_softsign_laplace_0040,train,src_softsign_laplace,softsign,laplace,40,100041,0.0,1000,10,data/tasks/train_src_softsign_laplace_0040.npz
train_src_interaction_studentt8_0041,train,src_interaction_studentt8,interaction,student_t8,41,100042,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0041.npz
train_src_rff_laplace_0042,train,src_rff_laplace,rff,laplace,42,100043,0.5,1000,10,data/tasks/train_src_rff_laplace_0042.npz
train_src_rff_gaussian_0043,train,src_rff_gaussian,rff,gaussian,43,100044,0.75,1000,10,data/tasks/train_src_rff_gaussian_0043.npz
train_src_tanh_laplace_0044,train,src_tanh_laplace,tanh,laplace,44,100045,1.0,1000,10,data/tasks/train_src_tanh_laplace_0044.npz
train_src_tanh_gaussian_0045,train,src_tanh_gaussian,tanh,gaussian,45,100046,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0045.npz
train_src_softsign_laplace_0046,train,src_softsign_laplace,softsign,laplace,46,100047,0.25,1000,10,data/tasks/train_src_softsign_laplace_0046.npz
train_src_interaction_studentt8_0047,train,src_interaction_studentt8,interaction,student_t8,47,100048,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0047.npz
train_src_rff_laplace_0048,train,src_rff_laplace,rff,laplace,48,100049,0.75,1000,10,data/tasks/train_src_rff_laplace_0048.npz
train_src_rff_gaussian_0049,train,src_rff_gaussian,rff,gaussian,49,100050,1.0,1000,10,data/tasks/train_src_rff_gaussian_0049.npz
train_src_tanh_laplace_0050,train,src_tanh_laplace,tanh,laplace,50,100051,0.0,1000,10,data/tasks/train_src_tanh_laplace_0050.npz
train_src_tanh_gaussian_0051,train,src_tanh_gaussian,tanh,gaussian,51,100052,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0051.npz
train_src_softsign_laplace_0052,train,src_softsign_laplace,softsign,laplace,52,100053,0.5,1000,10,data/tasks/train_src_softsign_laplace_0052.npz
train_src_interaction_studentt8_0053,train,src_interaction_studentt8,interaction,student_t8,53,100054,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0053.npz
train_src_rff_laplace_0054,train,src_rff_laplace,rff,laplace,54,100055,1.0,1000,10,data/tasks/train_src_rff_laplace_0054.npz
train_src_rff_gaussian_0055,train,src_rff_gaussian,rff,gaussian,55,100056,0.0,1000,10,data/tasks/train_src_rff_gaussian_0055.npz
train_src_tanh_laplace_0056,train,src_tanh_laplace,tanh,laplace,56,100057,0.25,1000,10,data/tasks/train_src_tanh_laplace_0056.npz
train_src_tanh_gaussian_0057,train,src_tanh_gaussian,tanh,gaussian,57,100058,0.5,1000,10,data/tasks/train_src_tanh_gaussian_0057.npz
train_src_softsign_laplace_0058,train,src_softsign_laplace,softsign,laplace,58,100059,0.75,1000,10,data/tasks/train_src_softsign_laplace_0058.npz
train_src_interaction_studentt8_0059,train,src_interaction_studentt8,interaction,student_t8,59,100060,1.0,1000,10,data/tasks/train_src_interaction_studentt8_0059.npz
train_src_rff_laplace_0060,train,src_rff_laplace,rff,laplace,60,100061,0.0,1000,10,data/tasks/train_src_rff_laplace_0060.npz
train_src_rff_gaussian_0061,train,src_rff_gaussian,rff,gaussian,61,100062,0.25,1000,10,data/tasks/train_src_rff_gaussian_0061.npz
train_src_tanh_laplace_0062,train,src_tanh_laplace,tanh,laplace,62,100063,0.5,1000,10,data/tasks/train_src_tanh_laplace_0062.npz
train_src_tanh_gaussian_0063,train,src_tanh_gaussian,tanh,gaussian,63,100064,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0063.npz
train_src_softsign_laplace_0064,train,src_softsign_laplace,softsign,laplace,64,100065,1.0,1000,10,data/tasks/train_src_softsign_laplace_0064.npz
train_src_interaction_studentt8_0065,train,src_interaction_studentt8,interaction,student_t8,65,100066,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0065.npz
train_src_rff_laplace_0066,train,src_rff_laplace,rff,laplace,66,100067,0.25,1000,10,data/tasks/train_src_rff_laplace_0066.npz
train_src_rff_gaussian_0067,train,src_rff_gaussian,rff,gaussian,67,100068,0.5,1000,10,data/tasks/train_src_rff_gaussian_0067.npz
train_src_tanh_laplace_0068,train,src_tanh_laplace,tanh,laplace,68,100069,0.75,1000,10,data/tasks/train_src_tanh_laplace_0068.npz
train_src_tanh_gaussian_0069,train,src_tanh_gaussian,tanh,gaussian,69,100070,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0069.npz
train_src_softsign_laplace_0070,train,src_softsign_laplace,softsign,laplace,70,100071,0.0,1000,10,data/tasks/train_src_softsign_laplace_0070.npz
train_src_interaction_studentt8_0071,train,src_interaction_studentt8,interaction,student_t8,71,100072,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0071.npz
train_src_rff_laplace_0072,train,src_rff_laplace,rff,laplace,72,100073,0.5,1000,10,data/tasks/train_src_rff_laplace_0072.npz
train_src_rff_gaussian_0073,train,src_rff_gaussian,rff,gaussian,73,100074,0.75,1000,10,data/tasks/train_src_rff_gaussian_0073.npz
train_src_tanh_laplace_0074,train,src_tanh_laplace,tanh,laplace,74,100075,1.0,1000,10,data/tasks/train_src_tanh_laplace_0074.npz
train_src_tanh_gaussian_0075,train,src_tanh_gaussian,tanh,gaussian,75,100076,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0075.npz
train_src_softsign_laplace_0076,train,src_softsign_laplace,softsign,laplace,76,100077,0.25,1000,10,data/tasks/train_src_softsign_laplace_0076.npz
train_src_interaction_studentt8_0077,train,src_interaction_studentt8,interaction,student_t8,77,100078,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0077.npz
train_src_rff_laplace_0078,train,src_rff_laplace,rff,laplace,78,100079,0.75,1000,10,data/tasks/train_src_rff_laplace_0078.npz
train_src_rff_gaussian_0079,train,src_rff_gaussian,rff,gaussian,79,100080,1.0,1000,10,data/tasks/train_src_rff_gaussian_0079.npz
