task_id,split,domain,mechanism,noise,task_index,graph_seed,lambda,n_samples,n_variables,path
train_src_rff_laplace_0000,train,src_rff_laplace,rff,laplace,0,100001,0.0,1000,10,data/tasks/train_src_rff_laplace_0000.npz
train_src_rff_laplace_0006,train,src_rff_laplace,rff,laplace,6,100007,0.25,1000,10,data/tasks/train_src_rff_laplace_0006.npz
train_src_rff_laplace_0012,train,src_rff_laplace,rff,laplace,12,100013,0.5,1000,10,data/tasks/train_src_rff_laplace_0012.npz
train_src_rff_laplace_0018,train,src_rff_laplace,rff,laplace,18,100019,0.75,1000,10,data/tasks/train_src_rff_laplace_0018.npz
train_src_rff_gaussian_0001,train,src_rff_gaussian,rff,gaussian,1,100002,0.25,1000,10,data/tasks/train_src_rff_gaussian_0001.npz
train_src_rff_gaussian_0007,train,src_rff_gaussian,rff,gaussian,7,100008,0.5,1000,10,data/tasks/train_src_rff_gaussian_0007.npz
train_src_rff_gaussian_0013,train,src_rff_gaussian,rff,gaussian,13,100014,0.75,1000,10,data/tasks/train_src_rff_gaussian_0013.npz
train_src_rff_gaussian_0019,train,src_rff_gaussian,rff,gaussian,19,100020,1.0,1000,10,data/tasks/train_src_rff_gaussian_0019.npz
train_src_tanh_laplace_0002,train,src_tanh_laplace,tanh,laplace,2,100003,0.5,1000,10,data/tasks/train_src_tanh_laplace_0002.npz
train_src_tanh_laplace_0008,train,src_tanh_laplace,tanh,laplace,8,100009,0.75,1000,10,data/tasks/train_src_tanh_laplace_0008.npz
train_src_tanh_laplace_0014,train,src_tanh_laplace,tanh,laplace,14,100015,1.0,1000,10,data/tasks/train_src_tanh_laplace_0014.npz
train_src_tanh_laplace_0020,train,src_tanh_laplace,tanh,laplace,20,100021,0.0,1000,10,data/tasks/train_src_tanh_laplace_0020.npz
train_src_tanh_gaussian_0003,train,src_tanh_gaussian,tanh,gaussian,3,100004,0.75,1000,10,data/tasks/train_src_tanh_gaussian_0003.npz
train_src_tanh_gaussian_0009,train,src_tanh_gaussian,tanh,gaussian,9,100010,1.0,1000,10,data/tasks/train_src_tanh_gaussian_0009.npz
train_src_tanh_gaussian_0015,train,src_tanh_gaussian,tanh,gaussian,15,100016,0.0,1000,10,data/tasks/train_src_tanh_gaussian_0015.npz
train_src_tanh_gaussian_0021,train,src_tanh_gaussian,tanh,gaussian,21,100022,0.25,1000,10,data/tasks/train_src_tanh_gaussian_0021.npz
train_src_softsign_laplace_0004,train,src_softsign_laplace,softsign,laplace,4,100005,1.0,1000,10,data/tasks/train_src_softsign_laplace_0004.npz
train_src_softsign_laplace_0010,train,src_softsign_laplace,softsign,laplace,10,100011,0.0,1000,10,data/tasks/train_src_softsign_laplace_0010.npz
train_src_softsign_laplace_0016,train,src_softsign_laplace,softsign,laplace,16,100017,0.25,1000,10,data/tasks/train_src_softsign_laplace_0016.npz
train_src_softsign_laplace_0022,train,src_softsign_laplace,softsign,laplace,22,100023,0.5,1000,10,data/tasks/train_src_softsign_laplace_0022.npz
train_src_interaction_studentt8_0005,train,src_interaction_studentt8,interaction,student_t8,5,100006,0.0,1000,10,data/tasks/train_src_interaction_studentt8_0005.npz
train_src_interaction_studentt8_0011,train,src_interaction_studentt8,interaction,student_t8,11,100012,0.25,1000,10,data/tasks/train_src_interaction_studentt8_0011.npz
train_src_interaction_studentt8_0017,train,src_interaction_studentt8,interaction,student_t8,17,100018,0.5,1000,10,data/tasks/train_src_interaction_studentt8_0017.npz
train_src_interaction_studentt8_0023,train,src_interaction_studentt8,interaction,student_t8,23,100024,0.75,1000,10,data/tasks/train_src_interaction_studentt8_0023.npz
