method,family,mean_harm_H,severe_harm_rate_T,net_gain_vs_cdfm,switch_rate,max_domain_H,max_domain_T,min_domain_net_gain,simultaneous_max_H,simultaneous_max_T,simultaneous_safe
always_cdfm,always-baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
always_lingam,always-baseline,0.2029195242789683,0.4638888888888889,-0.118034844447193,1.0,0.3629152597763229,0.8833333333333333,-0.3215126483312942,0.4197817050481388,0.935372685185185,False
old_gate0_router,legacy-router,0.09021623536379239,0.23277777777777778,-0.05515800864494853,0.5088888888888888,0.287875567632003,0.7933333333333333,-0.2826605372325744,0.3223055774470509,0.8620393518518517,False
logistic_router,same-feature-classifier,0.05738080832566889,0.14333333333333334,0.0062620481637355695,0.5494444444444444,0.1771292500589882,0.3966666666666666,-0.1157574418890257,0.22065699313262183,0.48,False
gain_regression,gain-prediction,0.0004631947201304938,0.0011111111111111111,0.02742036125654845,0.19166666666666668,0.0013406269077288,0.0033333333333333,0.0,0.003992997061916157,0.02,True
l2d_weighted,gain-prediction,0.0013490061672164506,0.002777777777777778,0.035574628107723084,0.24222222222222223,0.0036215434891905,0.0066666666666666,0.0,0.013605879908943628,0.02666666666666667,True
gain_crc,risk-control,0.0024487795735727877,0.007222222222222222,0.0273766312870095,0.21222222222222223,0.0053998489608607,0.02,-0.0052901892285595,0.013961408774521771,0.048706018518518406,True
gain_ltt,risk-control,0.0004631947201304938,0.0011111111111111111,0.02728588792883841,0.18944444444444444,0.0013406269077288,0.0033333333333333,0.0,0.004138075317835566,0.02,True
conformal_uncertain,uncertainty-fallback,0.0013490061672164506,0.002777777777777778,0.035574628107723084,0.24222222222222223,0.0036215434891905,0.0066666666666666,0.0,0.013115654415256122,0.02666666666666667,True
support_gate,support-ablation,7.977207977207986e-05,0.0,0.011610692428442447,0.065,0.0004786324786324,0.0,0.0,0.0016923076923076941,0.0,True
conservative_min_ltt,cross-source-conservative,0.0016720933293722837,0.005555555555555556,-0.0016720933293722837,0.006111111111111111,0.0100325599762337,0.0333333333333333,-0.0100325599762337,0.0227033260965811,0.0687060185185184,False
support_gain_ltt,support-ablation,7.977207977207986e-05,0.0,0.011610692428442447,0.065,0.0004786324786324,0.0,0.0,0.002077029914529911,0.0,True
