method,domain,metric,value
always_cdfm,tgt_interaction_exponential,harm_upper_simultaneous,0.0
always_cdfm,tgt_interaction_exponential,severe_upper_simultaneous,0.0
always_cdfm,tgt_interaction_exponential,net_lower_simultaneous,0.0
always_cdfm,tgt_rff_exponential,harm_upper_simultaneous,0.0
always_cdfm,tgt_rff_exponential,severe_upper_simultaneous,0.0
always_cdfm,tgt_rff_exponential,net_lower_simultaneous,0.0
always_cdfm,tgt_rff_studentt3,harm_upper_simultaneous,0.0
always_cdfm,tgt_rff_studentt3,severe_upper_simultaneous,0.0
always_cdfm,tgt_rff_studentt3,net_lower_simultaneous,0.0
always_cdfm,tgt_sine_laplace,harm_upper_simultaneous,0.0
always_cdfm,tgt_sine_laplace,severe_upper_simultaneous,0.0
always_cdfm,tgt_sine_laplace,net_lower_simultaneous,0.0
always_cdfm,tgt_softsign_gaussian,harm_upper_simultaneous,0.0
always_cdfm,tgt_softsign_gaussian,severe_upper_simultaneous,0.0
always_cdfm,tgt_softsign_gaussian,net_lower_simultaneous,0.0
always_cdfm,tgt_tanh_studentt3,harm_upper_simultaneous,0.0
always_cdfm,tgt_tanh_studentt3,severe_upper_simultaneous,0.0
always_cdfm,tgt_tanh_studentt3,net_lower_simultaneous,0.0
always_lingam,tgt_interaction_exponential,harm_upper_simultaneous,0.04281453451506573
always_lingam,tgt_interaction_exponential,severe_upper_simultaneous,0.15666666666666668
always_lingam,tgt_interaction_exponential,net_lower_simultaneous,0.11699744479910688
always_lingam,tgt_rff_exponential,harm_upper_simultaneous,0.18217355241978483
always_lingam,tgt_rff_exponential,severe_upper_simultaneous,0.4727847222222219
always_lingam,tgt_rff_exponential,net_lower_simultaneous,-0.08865135331247952
always_lingam,tgt_rff_studentt3,harm_upper_simultaneous,0.26864127302075586
always_lingam,tgt_rff_studentt3,severe_upper_simultaneous,0.5674120370370368
always_lingam,tgt_rff_studentt3,net_lower_simultaneous,-0.22433534448275985
always_lingam,tgt_sine_laplace,harm_upper_simultaneous,0.4197817050481388
always_lingam,tgt_sine_laplace,severe_upper_simultaneous,0.68
always_lingam,tgt_sine_laplace,net_lower_simultaneous,-0.3569900817406674
always_lingam,tgt_softsign_gaussian,harm_upper_simultaneous,0.3608126823944975
always_lingam,tgt_softsign_gaussian,severe_upper_simultaneous,0.935372685185185
always_lingam,tgt_softsign_gaussian,net_lower_simultaneous,-0.3535473918865698
always_lingam,tgt_tanh_studentt3,harm_upper_simultaneous,0.17082534299574084
always_lingam,tgt_tanh_studentt3,severe_upper_simultaneous,0.4227847222222219
always_lingam,tgt_tanh_studentt3,net_lower_simultaneous,-0.1080001950334374
old_gate0_router,tgt_interaction_exponential,harm_upper_simultaneous,0.0
old_gate0_router,tgt_interaction_exponential,severe_upper_simultaneous,0.0
old_gate0_router,tgt_interaction_exponential,net_lower_simultaneous,0.0
old_gate0_router,tgt_rff_exponential,harm_upper_simultaneous,0.0
old_gate0_router,tgt_rff_exponential,severe_upper_simultaneous,0.0
old_gate0_router,tgt_rff_exponential,net_lower_simultaneous,0.0
old_gate0_router,tgt_rff_studentt3,harm_upper_simultaneous,0.1649086817109463
old_gate0_router,tgt_rff_studentt3,severe_upper_simultaneous,0.36666666666666664
old_gate0_router,tgt_rff_studentt3,net_lower_simultaneous,-0.11711648676502198
old_gate0_router,tgt_sine_laplace,harm_upper_simultaneous,0.05852485209517663
old_gate0_router,tgt_sine_laplace,severe_upper_simultaneous,0.12203935185185173
old_gate0_router,tgt_sine_laplace,net_lower_simultaneous,0.0062629028526339225
old_gate0_router,tgt_softsign_gaussian,harm_upper_simultaneous,0.3223055774470509
old_gate0_router,tgt_softsign_gaussian,severe_upper_simultaneous,0.8620393518518517
old_gate0_router,tgt_softsign_gaussian,net_lower_simultaneous,-0.3186216112264182
old_gate0_router,tgt_tanh_studentt3,harm_upper_simultaneous,0.13137596145618435
old_gate0_router,tgt_tanh_studentt3,severe_upper_simultaneous,0.35537268518518506
old_gate0_router,tgt_tanh_studentt3,net_lower_simultaneous,-0.05980119036637833
logistic_router,tgt_interaction_exponential,harm_upper_simultaneous,0.02415697423509674
logistic_router,tgt_interaction_exponential,severe_upper_simultaneous,0.10537268518518507
logistic_router,tgt_interaction_exponential,net_lower_simultaneous,0.07301474089975372
logistic_router,tgt_rff_exponential,harm_upper_simultaneous,0.028690140838365588
logistic_router,tgt_rff_exponential,severe_upper_simultaneous,0.09666666666666666
logistic_router,tgt_rff_exponential,net_lower_simultaneous,0.02256434378870323
logistic_router,tgt_rff_studentt3,harm_upper_simultaneous,0.22065699313262183
logistic_router,tgt_rff_studentt3,severe_upper_simultaneous,0.48
logistic_router,tgt_rff_studentt3,net_lower_simultaneous,-0.17086632339705343
logistic_router,tgt_sine_laplace,harm_upper_simultaneous,0.007509426847662146
logistic_router,tgt_sine_laplace,severe_upper_simultaneous,0.016666666666666666
logistic_router,tgt_sine_laplace,net_lower_simultaneous,0.04862507455315306
logistic_router,tgt_softsign_gaussian,harm_upper_simultaneous,0.009967603338926823
logistic_router,tgt_softsign_gaussian,severe_upper_simultaneous,0.032039351851851736
logistic_router,tgt_softsign_gaussian,net_lower_simultaneous,-0.009511244565166135
logistic_router,tgt_tanh_studentt3,harm_upper_simultaneous,0.17289991574193825
logistic_router,tgt_tanh_studentt3,severe_upper_simultaneous,0.41
logistic_router,tgt_tanh_studentt3,net_lower_simultaneous,-0.11302138576798465
gain_regression,tgt_interaction_exponential,harm_upper_simultaneous,0.0
gain_regression,tgt_interaction_exponential,severe_upper_simultaneous,0.0
gain_regression,tgt_interaction_exponential,net_lower_simultaneous,0.0
gain_regression,tgt_rff_exponential,harm_upper_simultaneous,0.0
gain_regression,tgt_rff_exponential,severe_upper_simultaneous,0.0
gain_regression,tgt_rff_exponential,net_lower_simultaneous,0.0
gain_regression,tgt_rff_studentt3,harm_upper_simultaneous,0.003992997061916157
gain_regression,tgt_rff_studentt3,severe_upper_simultaneous,0.0187060185185184
gain_regression,tgt_rff_studentt3,net_lower_simultaneous,0.02316312981122513
gain_regression,tgt_sine_laplace,harm_upper_simultaneous,0.001887986704653371
gain_regression,tgt_sine_laplace,severe_upper_simultaneous,0.0
gain_regression,tgt_sine_laplace,net_lower_simultaneous,0.052378710040764
gain_regression,tgt_softsign_gaussian,harm_upper_simultaneous,0.0
gain_regression,tgt_softsign_gaussian,severe_upper_simultaneous,0.0
gain_regression,tgt_softsign_gaussian,net_lower_simultaneous,0.0
gain_regression,tgt_tanh_studentt3,harm_upper_simultaneous,0.0031060318991738643
gain_regression,tgt_tanh_studentt3,severe_upper_simultaneous,0.02
gain_regression,tgt_tanh_studentt3,net_lower_simultaneous,0.036299791198530065
l2d_weighted,tgt_interaction_exponential,harm_upper_simultaneous,0.001091184413580236
l2d_weighted,tgt_interaction_exponential,severe_upper_simultaneous,0.0
l2d_weighted,tgt_interaction_exponential,net_lower_simultaneous,0.010006551642087287
l2d_weighted,tgt_rff_exponential,harm_upper_simultaneous,0.0
l2d_weighted,tgt_rff_exponential,severe_upper_simultaneous,0.0
l2d_weighted,tgt_rff_exponential,net_lower_simultaneous,0.006629192509504519
l2d_weighted,tgt_rff_studentt3,harm_upper_simultaneous,0.009715201759634697
l2d_weighted,tgt_rff_studentt3,severe_upper_simultaneous,0.02666666666666667
l2d_weighted,tgt_rff_studentt3,net_lower_simultaneous,0.02914367943990859
l2d_weighted,tgt_sine_laplace,harm_upper_simultaneous,0.013605879908943628
l2d_weighted,tgt_sine_laplace,severe_upper_simultaneous,0.02666666666666667
l2d_weighted,tgt_sine_laplace,net_lower_simultaneous,0.045025215563298124
l2d_weighted,tgt_softsign_gaussian,harm_upper_simultaneous,0.0
l2d_weighted,tgt_softsign_gaussian,severe_upper_simultaneous,0.0
l2d_weighted,tgt_softsign_gaussian,net_lower_simultaneous,0.0
l2d_weighted,tgt_tanh_studentt3,harm_upper_simultaneous,0.0036766467279250653
l2d_weighted,tgt_tanh_studentt3,severe_upper_simultaneous,0.0187060185185184
l2d_weighted,tgt_tanh_studentt3,net_lower_simultaneous,0.043704219596077634
gain_crc,tgt_interaction_exponential,harm_upper_simultaneous,0.0
gain_crc,tgt_interaction_exponential,severe_upper_simultaneous,0.0
gain_crc,tgt_interaction_exponential,net_lower_simultaneous,0.0
gain_crc,tgt_rff_exponential,harm_upper_simultaneous,0.0
gain_crc,tgt_rff_exponential,severe_upper_simultaneous,0.0
gain_crc,tgt_rff_exponential,net_lower_simultaneous,0.0
gain_crc,tgt_rff_studentt3,harm_upper_simultaneous,0.009042017765648756
gain_crc,tgt_rff_studentt3,severe_upper_simultaneous,0.025372685185185068
gain_crc,tgt_rff_studentt3,net_lower_simultaneous,0.025197664262801196
gain_crc,tgt_sine_laplace,harm_upper_simultaneous,0.011607399988129154
gain_crc,tgt_sine_laplace,severe_upper_simultaneous,0.025372685185185068
gain_crc,tgt_sine_laplace,net_lower_simultaneous,0.04573384443432117
gain_crc,tgt_softsign_gaussian,harm_upper_simultaneous,0.013961408774521771
gain_crc,tgt_softsign_gaussian,severe_upper_simultaneous,0.048706018518518406
gain_crc,tgt_softsign_gaussian,net_lower_simultaneous,-0.014348807238624578
gain_crc,tgt_tanh_studentt3,harm_upper_simultaneous,0.008659183259725952
