method,domain,n,mean_harm_H,severe_harm_rate_T,net_gain_vs_cdfm,mean_oracle_gap,switch_rate
always_cdfm,tgt_interaction_exponential,300,0.0,0.0,0.0,0.1804668284776017,0.0
always_cdfm,tgt_rff_exponential,300,0.0,0.0,0.0,0.11519794522602168,0.0
always_cdfm,tgt_rff_studentt3,300,0.0,0.0,0.0,0.061371808169962516,0.0
always_cdfm,tgt_sine_laplace,300,0.0,0.0,0.0,0.07122764264394668,0.0
always_cdfm,tgt_softsign_gaussian,300,0.0,0.0,0.0,0.005215030399428642,0.0
always_cdfm,tgt_tanh_studentt3,300,0.0,0.0,0.0,0.07582882407369058,0.0
always_lingam,tgt_interaction_exponential,300,0.02752747131658501,0.10333333333333333,0.15293935716101667,0.02752747131658501,1.0
always_lingam,tgt_rff_exponential,300,0.14305559898328118,0.38666666666666666,-0.027857653757259477,0.14305559898328118,1.0
always_lingam,tgt_rff_studentt3,300,0.22489611048924138,0.47333333333333333,-0.1635243023192789,0.22489611048924138,1.0
always_lingam,tgt_sine_laplace,300,0.3629152597763229,0.6033333333333334,-0.29168761713237623,0.3629152597763229,1.0
always_lingam,tgt_softsign_gaussian,300,0.32672767873072284,0.8833333333333333,-0.3215126483312942,0.32672767873072284,1.0
always_lingam,tgt_tanh_studentt3,300,0.1323950263776566,0.3333333333333333,-0.056566202303966015,0.1323950263776566,1.0
old_gate0_router,tgt_interaction_exponential,300,0.0,0.0,0.0,0.1804668284776017,0.0
old_gate0_router,tgt_rff_exponential,300,0.0,0.0,0.0,0.11519794522602168,0.0
old_gate0_router,tgt_rff_studentt3,300,0.1261818798888872,0.28,-0.06642723588631372,0.12779904405627623,0.7766666666666666
old_gate0_router,tgt_sine_laplace,300,0.03234435541692874,0.06666666666666667,0.03888328722701794,0.03234435541692874,0.4633333333333333
old_gate0_router,tgt_softsign_gaussian,300,0.28787556763200306,0.7933333333333333,-0.2826605372325744,0.28787556763200306,0.9066666666666666
old_gate0_router,tgt_tanh_studentt3,300,0.09489560924493538,0.25666666666666665,-0.02074356597782102,0.0965723900515116,0.9066666666666666
logistic_router,tgt_interaction_exponential,300,0.014051531910789738,0.06,0.09815576450328699,0.08231106397431472,0.6133333333333333
logistic_router,tgt_rff_exponential,300,0.015969661705434186,0.056666666666666664,0.04525190592931609,0.06994603929670559,0.35333333333333333
logistic_router,tgt_rff_studentt3,300,0.17712925005898825,0.39666666666666667,-0.11575744188902573,0.17712925005898825,0.9166666666666666
logistic_router,tgt_sine_laplace,300,0.001826671694318754,0.0033333333333333335,0.06940097094962792,0.001826671694318754,0.4
logistic_router,tgt_softsign_gaussian,300,0.002912708206825854,0.01,-0.002912708206825854,0.008127738606254497,0.013333333333333334
logistic_router,tgt_tanh_studentt3,300,0.1323950263776566,0.3333333333333333,-0.056566202303966015,0.1323950263776566,1.0
gain_regression,tgt_interaction_exponential,300,0.0,0.0,0.0014368964368964372,0.17902993204070528,0.013333333333333334
gain_regression,tgt_rff_exponential,300,0.0,0.0,0.002610275689223058,0.11258766953679862,0.013333333333333334
gain_regression,tgt_rff_studentt3,300,0.0013406269077288072,0.0033333333333333335,0.04020937579007075,0.021162432379891762,0.31333333333333335
gain_regression,tgt_sine_laplace,300,0.00047863247863247913,0.0,0.0700250282648617,0.001202614379084968,0.3933333333333333
gain_regression,tgt_softsign_gaussian,300,0.0,0.0,0.0,0.005215030399428642,0.0
gain_regression,tgt_tanh_studentt3,300,0.0009599089344216764,0.0033333333333333335,0.05024059135823876,0.025588232715451822,0.4166666666666667
l2d_weighted,tgt_interaction_exponential,300,0.00019444444444444376,0.0,0.02252944194545361,0.1579373865321481,0.1
l2d_weighted,tgt_rff_exponential,300,0.0,0.0,0.017032575267920905,0.09816536995810078,0.07333333333333333
l2d_weighted,tgt_rff_studentt3,300,0.0029494037517997693,0.006666666666666667,0.04677481924040909,0.014596988929553417,0.38333333333333336
l2d_weighted,tgt_sine_laplace,300,0.0036215434891905493,0.006666666666666667,0.06760609915475614,0.0036215434891905493,0.4033333333333333
l2d_weighted,tgt_softsign_gaussian,300,0.0,0.0,0.0,0.005215030399428642,0.0
l2d_weighted,tgt_tanh_studentt3,300,0.001328645317863941,0.0033333333333333335,0.0595048330377988,0.016323991035891793,0.49333333333333335
gain_crc,tgt_interaction_exponential,300,0.0,0.0,0.0025480075480075483,0.17791882092959413,0.02
gain_crc,tgt_rff_exponential,300,0.0,0.0,0.0028085975809087945,0.1123893476451129,0.016666666666666666
gain_crc,tgt_rff_studentt3,300,0.002954474745714576,0.006666666666666667,0.040177995827459026,0.021193812342503476,0.3333333333333333
gain_crc,tgt_sine_laplace,300,0.0036215434891905493,0.006666666666666667,0.06760609915475614,0.0036215434891905493,0.4033333333333333
gain_crc,tgt_softsign_gaussian,300,0.005399848960860791,0.02,-0.005290189228559549,0.01050521962798819,0.02666666666666667
gain_crc,tgt_tanh_studentt3,300,0.0027168102456708127,0.01,0.056409276839485066,0.019419547234205515,0.47333333333333333
gain_ltt,tgt_interaction_exponential,300,0.0,0.0,0.0014368964368964372,0.17902993204070528,0.013333333333333334
gain_ltt,tgt_rff_exponential,300,0.0,0.0,0.0021658312447786136,0.11303211398124306,0.01
gain_ltt,tgt_rff_studentt3,300,0.0013406269077288072,0.0033333333333333335,0.039846980268254936,0.021524827901707573,0.30333333333333334
gain_ltt,tgt_sine_laplace,300,0.00047863247863247913,0.0,0.0700250282648617,0.001202614379084968,0.3933333333333333
gain_ltt,tgt_softsign_gaussian,300,0.0,0.0,0.0,0.005215030399428642,0.0
