task_id,family,family_index,graph_seed,N,D,noise,lambda,dataset_path
softsign_seed_320000,softsign,0,320000,1000,10,laplace,1.0,cache/datasets/softsign_seed_320000.npz
softsign_seed_320001,softsign,1,320001,1000,10,laplace,1.0,cache/datasets/softsign_seed_320001.npz
softsign_seed_320002,softsign,2,320002,1000,10,laplace,1.0,cache/datasets/softsign_seed_320002.npz
softsign_seed_320003,softsign,3,320003,1000,10,laplace,1.0,cache/datasets/softsign_seed_320003.npz
softsign_seed_320004,softsign,4,320004,1000,10,laplace,1.0,cache/datasets/softsign_seed_320004.npz
softsign_seed_320005,softsign,5,320005,1000,10,laplace,1.0,cache/datasets/softsign_seed_320005.npz
softsign_seed_320006,softsign,6,320006,1000,10,laplace,1.0,cache/datasets/softsign_seed_320006.npz
softsign_seed_320007,softsign,7,320007,1000,10,laplace,1.0,cache/datasets/softsign_seed_320007.npz
softsign_seed_320008,softsign,8,320008,1000,10,laplace,1.0,cache/datasets/softsign_seed_320008.npz
softsign_seed_320009,softsign,9,320009,1000,10,laplace,1.0,cache/datasets/softsign_seed_320009.npz
softsign_seed_320010,softsign,10,320010,1000,10,laplace,1.0,cache/datasets/softsign_seed_320010.npz
softsign_seed_320011,softsign,11,320011,1000,10,laplace,1.0,cache/datasets/softsign_seed_320011.npz
softsign_seed_320012,softsign,12,320012,1000,10,laplace,1.0,cache/datasets/softsign_seed_320012.npz
softsign_seed_320013,softsign,13,320013,1000,10,laplace,1.0,cache/datasets/softsign_seed_320013.npz
softsign_seed_320014,softsign,14,320014,1000,10,laplace,1.0,cache/datasets/softsign_seed_320014.npz
softsign_seed_320015,softsign,15,320015,1000,10,laplace,1.0,cache/datasets/softsign_seed_320015.npz
softsign_seed_320016,softsign,16,320016,1000,10,laplace,1.0,cache/datasets/softsign_seed_320016.npz
softsign_seed_320017,softsign,17,320017,1000,10,laplace,1.0,cache/datasets/softsign_seed_320017.npz
softsign_seed_320018,softsign,18,320018,1000,10,laplace,1.0,cache/datasets/softsign_seed_320018.npz
softsign_seed_320019,softsign,19,320019,1000,10,laplace,1.0,cache/datasets/softsign_seed_320019.npz
softsign_seed_320020,softsign,20,320020,1000,10,laplace,1.0,cache/datasets/softsign_seed_320020.npz
softsign_seed_320021,softsign,21,320021,1000,10,laplace,1.0,cache/datasets/softsign_seed_320021.npz
softsign_seed_320022,softsign,22,320022,1000,10,laplace,1.0,cache/datasets/softsign_seed_320022.npz
softsign_seed_320023,softsign,23,320023,1000,10,laplace,1.0,cache/datasets/softsign_seed_320023.npz
softsign_seed_320024,softsign,24,320024,1000,10,laplace,1.0,cache/datasets/softsign_seed_320024.npz
sine_seed_321000,sine,0,321000,1000,10,laplace,1.0,cache/datasets/sine_seed_321000.npz
sine_seed_321001,sine,1,321001,1000,10,laplace,1.0,cache/datasets/sine_seed_321001.npz
sine_seed_321002,sine,2,321002,1000,10,laplace,1.0,cache/datasets/sine_seed_321002.npz
sine_seed_321003,sine,3,321003,1000,10,laplace,1.0,cache/datasets/sine_seed_321003.npz
sine_seed_321004,sine,4,321004,1000,10,laplace,1.0,cache/datasets/sine_seed_321004.npz
sine_seed_321005,sine,5,321005,1000,10,laplace,1.0,cache/datasets/sine_seed_321005.npz
sine_seed_321006,sine,6,321006,1000,10,laplace,1.0,cache/datasets/sine_seed_321006.npz
sine_seed_321007,sine,7,321007,1000,10,laplace,1.0,cache/datasets/sine_seed_321007.npz
sine_seed_321008,sine,8,321008,1000,10,laplace,1.0,cache/datasets/sine_seed_321008.npz
sine_seed_321009,sine,9,321009,1000,10,laplace,1.0,cache/datasets/sine_seed_321009.npz
sine_seed_321010,sine,10,321010,1000,10,laplace,1.0,cache/datasets/sine_seed_321010.npz
sine_seed_321011,sine,11,321011,1000,10,laplace,1.0,cache/datasets/sine_seed_321011.npz
sine_seed_321012,sine,12,321012,1000,10,laplace,1.0,cache/datasets/sine_seed_321012.npz
sine_seed_321013,sine,13,321013,1000,10,laplace,1.0,cache/datasets/sine_seed_321013.npz
sine_seed_321014,sine,14,321014,1000,10,laplace,1.0,cache/datasets/sine_seed_321014.npz
sine_seed_321015,sine,15,321015,1000,10,laplace,1.0,cache/datasets/sine_seed_321015.npz
sine_seed_321016,sine,16,321016,1000,10,laplace,1.0,cache/datasets/sine_seed_321016.npz
sine_seed_321017,sine,17,321017,1000,10,laplace,1.0,cache/datasets/sine_seed_321017.npz
sine_seed_321018,sine,18,321018,1000,10,laplace,1.0,cache/datasets/sine_seed_321018.npz
sine_seed_321019,sine,19,321019,1000,10,laplace,1.0,cache/datasets/sine_seed_321019.npz
sine_seed_321020,sine,20,321020,1000,10,laplace,1.0,cache/datasets/sine_seed_321020.npz
sine_seed_321021,sine,21,321021,1000,10,laplace,1.0,cache/datasets/sine_seed_321021.npz
sine_seed_321022,sine,22,321022,1000,10,laplace,1.0,cache/datasets/sine_seed_321022.npz
sine_seed_321023,sine,23,321023,1000,10,laplace,1.0,cache/datasets/sine_seed_321023.npz
sine_seed_321024,sine,24,321024,1000,10,laplace,1.0,cache/datasets/sine_seed_321024.npz
