held_out_family,model,n_train,n_test,spearman,spearman_ci_low,spearman_ci_high,pearson,mae,risk_at_25,risk_at_50,risk_at_50_ci_low,risk_at_50_ci_high,risk_at_75,risk_at_100
linear,constant,45,15,,,,,0.10729062402924798,0.19362784019771315,0.19362784019771315,0.11865516062884483,0.26797062680966943,0.19362784019771315,0.19362784019771315
linear,metadata_ridge,45,15,0.1251117568394886,-0.48370392449080984,0.6232185417140945,0.25273787308972606,0.09264867593748558,0.1587719298245614,0.19463441126326791,0.11696820175438599,0.2847213399879008,0.19166849988084111,0.1936278401977132
linear,ood_only,45,15,-0.12332444602749591,-0.6350861737782664,0.4950866090812555,-0.08532192131774428,0.10333225765295276,0.19337568058076227,0.21178395107614706,0.13799560107919906,0.2892411524500907,0.19744415697228768,0.19362784019771315
linear,confidence_ridge,45,15,0.7131370139850851,0.3299712599951067,0.9105226368721092,0.7005022364945954,0.07960020558618272,0.08106060606060608,0.10611471861471862,0.06550324675324674,0.21093515037593985,0.1814223938997079,0.1936278401977132
linear,candidate_ridge,45,15,0.2859697299188311,-0.2859809337134711,0.7185281045491879,0.2681909818499594,0.09704150672674146,0.20722610722610724,0.14831002331002333,0.09010489510489514,0.24369180161943316,0.1814223938997079,0.19362784019771323
linear,candidate_rf,45,15,0.43431652731422477,-0.059999333988244884,0.7434401602394063,0.45753480826980303,0.09120830530362926,0.13116883116883116,0.14080371383002963,0.08748511904761905,0.23327797807153516,0.1814223938997079,0.19362784019771315
linear,random,45,15,,,,,,0.19362784019771315,0.19362784019771315,0.11865516062884483,0.26797062680966943,0.19362784019771315,0.19362784019771315
tanh,constant,45,15,,,,,0.0802399112575786,0.2286275806507911,0.2286275806507911,0.16478878746964615,0.30175161836447,0.2286275806507911,0.2286275806507911
tanh,metadata_ridge,45,15,0.3255819163119947,-0.19143930875303306,0.709439899417331,0.24435494364592822,0.07608887022798314,0.1848484848484849,0.22597167325428202,0.14459746925779537,0.30665760869565223,0.22399563983110451,0.2286275806507911
tanh,ood_only,45,15,-0.2325585116514247,-0.7426898034425162,0.32729813017528764,-0.15390989823155135,0.08093601169478953,0.22468274726339246,0.26038155808492414,0.17310850439882702,0.3377647064060108,0.24114032185560944,0.22862758065079108
tanh,confidence_ridge,45,15,0.19320245583349133,-0.3227329059204455,0.6506174115561084,0.19677612792101257,0.07456914675796587,0.18174390968508622,0.22444488611884045,0.15582650601032955,0.30528750260254467,0.21716348327945287,0.22862758065079108
tanh,candidate_ridge,45,15,0.44007226050961906,-0.09921650561504304,0.7628932187977081,0.43685751176943904,0.07107070095137827,0.170959595959596,0.17496286393345223,0.12899509803921572,0.2807234267224677,0.23007324618921576,0.22862758065079108
tanh,candidate_rf,45,15,0.7048311814666258,0.2579723963436507,0.8808094225718861,0.6181655765119031,0.05656916306617953,0.14689542483660134,0.17496286393345223,0.13113487819370173,0.22454028570499993,0.19337685079716818,0.22862758065079108
tanh,random,45,15,,,,,,0.2286275806507911,0.2286275806507911,0.16478878746964615,0.30175161836447,0.2286275806507911,0.2286275806507911
rff,constant,45,15,,,,,0.07728163841345796,0.24876776999326017,0.24876776999326017,0.18617225095166273,0.3119212907700959,0.24876776999326017,0.24876776999326017
rff,metadata_ridge,45,15,-0.03584252413663269,-0.5852416126114305,0.5236372220252818,0.0037367935659897017,0.09928537875996803,0.21279761904761907,0.25163014069264067,0.1789644243113912,0.3127074314574314,0.2598133280118574,0.24876776999326017
rff,ood_only,45,15,-0.5627276289451333,-0.8721715815423897,-0.06607792086970353,-0.5746257980165455,0.087138565631877,0.3325084841628959,0.2831373589645648,0.2119386312217194,0.3527579497708174,0.27156247211394263,0.24876776999326014
rff,confidence_ridge,45,15,0.6953449682506743,0.30782466064938885,0.899655132756804,0.6536132217241887,0.06469950705686008,0.20681605975723624,0.18330220977279799,0.15431664332399625,0.25771752450980384,0.22253343288882502,0.24876776999326017
rff,candidate_ridge,45,15,-0.37276225102098004,-0.7836379654662609,0.21120677277192754,-0.3053095106417192,0.25175165366736374,0.242712148962149,0.29305799388519976,0.21398126740498066,0.3372779972274457,0.2570122075636781,0.24876776999326017
rff,candidate_rf,45,15,0.16129135861484714,-0.3516806722689075,0.5717306597430672,0.21204129102854166,0.0755974138076914,0.2648517740429505,0.2248862044817927,0.17672735760971056,0.30083398984593834,0.24567642324995265,0.24876776999326017
rff,random,45,15,,,,,,0.24876776999326017,0.24876776999326017,0.18617225095166273,0.3119212907700959,0.24876776999326017,0.24876776999326017
interaction,constant,45,15,,,,,0.08843388277180754,0.23307421235677694,0.23307421235677694,0.15802763053762098,0.3084357861133536,0.23307421235677694,0.23307421235677694
interaction,metadata_ridge,45,15,0.6923088000700106,0.32954396683856524,0.8759467669546332,0.7192316916615354,0.07581207868446936,0.15560897435897433,0.173033955778521,0.11770833333333329,0.2570127540032431,0.2152891255992279,0.23307421235677697
interaction,ood_only,45,15,-0.08407884652013047,-0.6301038961038958,0.5254503053653731,-0.1554750203719268,0.0892793023675967,0.21829305935267662,0.2450002592800679,0.16914093504718228,0.31765105119694365,0.24388906174226754,0.23307421235677697
interaction,confidence_ridge,45,15,0.18962463257731554,-0.31730108144526503,0.5899660314809911,0.24764941502136592,0.09005475322550818,0.18174390968508622,0.21274695484254308,0.14828129642008325,0.30777151907001055,0.2262182764084387,0.23307421235677694
