task_id,split,domain,mechanism,noise,task_index,graph_seed,N,D,lambda,generator_mechanism,dataset_path
final_quadratic_gaussian_000,final,quadratic_gaussian,quadratic,gaussian,0,600000,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_000.npz
final_quadratic_gaussian_001,final,quadratic_gaussian,quadratic,gaussian,1,600001,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_001.npz
final_quadratic_gaussian_002,final,quadratic_gaussian,quadratic,gaussian,2,600002,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_002.npz
final_quadratic_gaussian_003,final,quadratic_gaussian,quadratic,gaussian,3,600003,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_003.npz
final_quadratic_gaussian_004,final,quadratic_gaussian,quadratic,gaussian,4,600004,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_004.npz
final_quadratic_gaussian_005,final,quadratic_gaussian,quadratic,gaussian,5,600005,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_005.npz
final_quadratic_gaussian_006,final,quadratic_gaussian,quadratic,gaussian,6,600006,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_006.npz
final_quadratic_gaussian_007,final,quadratic_gaussian,quadratic,gaussian,7,600007,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_007.npz
final_quadratic_gaussian_008,final,quadratic_gaussian,quadratic,gaussian,8,600008,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_008.npz
final_quadratic_gaussian_009,final,quadratic_gaussian,quadratic,gaussian,9,600009,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_009.npz
final_quadratic_gaussian_010,final,quadratic_gaussian,quadratic,gaussian,10,600010,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_010.npz
final_quadratic_gaussian_011,final,quadratic_gaussian,quadratic,gaussian,11,600011,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_011.npz
final_quadratic_gaussian_012,final,quadratic_gaussian,quadratic,gaussian,12,600012,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_012.npz
final_quadratic_gaussian_013,final,quadratic_gaussian,quadratic,gaussian,13,600013,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_013.npz
final_quadratic_gaussian_014,final,quadratic_gaussian,quadratic,gaussian,14,600014,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_014.npz
final_quadratic_gaussian_015,final,quadratic_gaussian,quadratic,gaussian,15,600015,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_015.npz
final_quadratic_gaussian_016,final,quadratic_gaussian,quadratic,gaussian,16,600016,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_016.npz
final_quadratic_gaussian_017,final,quadratic_gaussian,quadratic,gaussian,17,600017,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_017.npz
final_quadratic_gaussian_018,final,quadratic_gaussian,quadratic,gaussian,18,600018,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_018.npz
final_quadratic_gaussian_019,final,quadratic_gaussian,quadratic,gaussian,19,600019,1000,10,1.0,quadratic,cache/datasets/final_quadratic_gaussian_019.npz
final_quadratic_student_t3_000,final,quadratic_student_t3,quadratic,student_t3,0,600020,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_000.npz
final_quadratic_student_t3_001,final,quadratic_student_t3,quadratic,student_t3,1,600021,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_001.npz
final_quadratic_student_t3_002,final,quadratic_student_t3,quadratic,student_t3,2,600022,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_002.npz
final_quadratic_student_t3_003,final,quadratic_student_t3,quadratic,student_t3,3,600023,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_003.npz
final_quadratic_student_t3_004,final,quadratic_student_t3,quadratic,student_t3,4,600024,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_004.npz
final_quadratic_student_t3_005,final,quadratic_student_t3,quadratic,student_t3,5,600025,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_005.npz
final_quadratic_student_t3_006,final,quadratic_student_t3,quadratic,student_t3,6,600026,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_006.npz
final_quadratic_student_t3_007,final,quadratic_student_t3,quadratic,student_t3,7,600027,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_007.npz
final_quadratic_student_t3_008,final,quadratic_student_t3,quadratic,student_t3,8,600028,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_008.npz
final_quadratic_student_t3_009,final,quadratic_student_t3,quadratic,student_t3,9,600029,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_009.npz
final_quadratic_student_t3_010,final,quadratic_student_t3,quadratic,student_t3,10,600030,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_010.npz
final_quadratic_student_t3_011,final,quadratic_student_t3,quadratic,student_t3,11,600031,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_011.npz
final_quadratic_student_t3_012,final,quadratic_student_t3,quadratic,student_t3,12,600032,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_012.npz
final_quadratic_student_t3_013,final,quadratic_student_t3,quadratic,student_t3,13,600033,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_013.npz
final_quadratic_student_t3_014,final,quadratic_student_t3,quadratic,student_t3,14,600034,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_014.npz
final_quadratic_student_t3_015,final,quadratic_student_t3,quadratic,student_t3,15,600035,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_015.npz
final_quadratic_student_t3_016,final,quadratic_student_t3,quadratic,student_t3,16,600036,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_016.npz
final_quadratic_student_t3_017,final,quadratic_student_t3,quadratic,student_t3,17,600037,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_017.npz
final_quadratic_student_t3_018,final,quadratic_student_t3,quadratic,student_t3,18,600038,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_018.npz
final_quadratic_student_t3_019,final,quadratic_student_t3,quadratic,student_t3,19,600039,1000,10,1.0,quadratic,cache/datasets/final_quadratic_student_t3_019.npz
final_quadratic_exponential_000,final,quadratic_exponential,quadratic,exponential,0,600040,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_000.npz
final_quadratic_exponential_001,final,quadratic_exponential,quadratic,exponential,1,600041,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_001.npz
final_quadratic_exponential_002,final,quadratic_exponential,quadratic,exponential,2,600042,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_002.npz
final_quadratic_exponential_003,final,quadratic_exponential,quadratic,exponential,3,600043,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_003.npz
final_quadratic_exponential_004,final,quadratic_exponential,quadratic,exponential,4,600044,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_004.npz
final_quadratic_exponential_005,final,quadratic_exponential,quadratic,exponential,5,600045,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_005.npz
final_quadratic_exponential_006,final,quadratic_exponential,quadratic,exponential,6,600046,1000,10,1.0,quadratic,cache/datasets/final_quadratic_exponential_006.npz
