split,domain,model,n_train,n_tasks,spearman,pearson,mae,risk_at_25,risk_at_50,risk_at_75,risk_at_100,full_risk,relative_risk_reduction_at_50
DEV,sine_gaussian,M1_Ridge,160,10,0.29696969696969694,0.5662825163784188,0.06083622785827945,0.366193260930103,0.30799181862702735,0.3205219039004084,0.33718675388955754,0.33718675388955754,0.0865838735530303
DEV,sine_laplace,M1_Ridge,160,10,0.16363636363636364,0.4129226871534306,0.07356828048121299,0.2113617376775271,0.26916998378298684,0.2908695664500618,0.28656331392426193,0.28656331392426193,0.060696290474474716
DEV,sine_student_t3,M1_Ridge,160,10,-0.05454545454545454,0.04021481590835264,0.09401898191836242,0.2972582972582972,0.30926406926406924,0.2706709956709957,0.2787921553438795,0.2787921553438795,-0.10929975372730187
DEV,sine_student_t8,M1_Ridge,160,10,-0.0303030303030303,0.05537797478680547,0.0972667138839273,0.4100912506709608,0.39953623188405796,0.4078766262030275,0.39876506907836407,0.39876506907836407,-0.001933877527126996
DEV,softsign_gaussian,M1_Ridge,160,10,0.4666666666666666,0.5348894297484141,0.07279976286782155,0.35570937268730135,0.3723999825867398,0.40532574669246996,0.405510597353976,0.405510597353976,0.08165166331851366
DEV,softsign_laplace,M1_Ridge,160,10,0.7818181818181817,0.7014684395473118,0.07716633209396044,0.15262515262515264,0.1643023643023643,0.23055093055093057,0.23904779051120517,0.23904779051120517,0.3126798455195813
DEV,softsign_student_t3,M1_Ridge,160,10,0.4787878787878787,0.6903193470265772,0.08324086346043955,0.10714285714285714,0.10824175824175823,0.15233155002891846,0.1832938114517062,0.1832938114517062,0.4094631052490416
DEV,softsign_student_t8,M1_Ridge,160,10,0.8787878787878788,0.912426871783747,0.05789687339067667,0.15273132664437014,0.23249564029174224,0.28341827958116583,0.32567079387769865,0.32567079387769865,0.28610227056758153
DEV,MACRO,M1_Ridge,160,80,0.3727272727272727,0.48923776029163224,0.07709925449433505,0.2566391569545712,0.27042523112259326,0.29519569988474725,0.30685378567883115,0.30685378567883115,0.14074292717847428
DEV,sine_gaussian,M2_AdditiveSpline,160,10,0.5151515151515151,0.3668373327726992,0.07260970066924104,0.2847117794486216,0.3191029297381385,0.3218102397475678,0.3371867538895575,0.3371867538895575,0.05363147852878648
DEV,sine_laplace,M2_AdditiveSpline,160,10,0.2121212121212121,0.44604742592587127,0.07380530682903824,0.2113617376775271,0.25348370927318287,0.2908695664500618,0.28656331392426193,0.28656331392426193,0.1154355880314182
DEV,sine_student_t3,M2_AdditiveSpline,160,10,-0.06666666666666665,0.018846999499613673,0.10170221180271066,0.3376623376623376,0.2521212121212121,0.28832288401253914,0.2787921553438794,0.2787921553438794,0.09566604623350951
DEV,sine_student_t8,M2_AdditiveSpline,160,10,-0.006060606060606061,0.07382539114461399,0.09174500195338472,0.3977455716586151,0.4033983008495752,0.3984563363479551,0.39876506907836407,0.39876506907836407,-0.011618950932486521
DEV,softsign_gaussian,M2_AdditiveSpline,160,10,0.6363636363636362,0.5369411285787586,0.07297553894052163,0.35570937268730135,0.3547135024002596,0.37938824669246995,0.405510597353976,0.405510597353976,0.12526699742294248
DEV,softsign_laplace,M2_AdditiveSpline,160,10,0.6121212121212121,0.6057072578834979,0.08900139151066946,0.1641691641691642,0.1643023643023643,0.23055093055093057,0.23904779051120517,0.23904779051120517,0.3126798455195813
DEV,softsign_student_t3,M2_AdditiveSpline,160,10,0.7333333333333332,0.7769528022761183,0.06987714500854796,0.09230769230769231,0.13157509157509156,0.15233155002891846,0.1832938114517062,0.1832938114517062,0.28216293538225296
DEV,softsign_student_t8,M2_AdditiveSpline,160,10,0.7939393939393938,0.9098628839793044,0.05479635210687232,0.15273132664437014,0.23249564029174224,0.28341827958116583,0.32567079387769865,0.32567079387769865,0.28610227056758153
DEV,MACRO,M2_AdditiveSpline,160,80,0.4287878787878787,0.46687765275755966,0.07831408110262326,0.24954987278195367,0.2638990938189458,0.2931435041764511,0.3068537856788311,0.3068537856788311,0.15741577634419823
DEV,sine_gaussian,M3_RandomForest,160,10,0.7212121212121211,0.7993627694124271,0.04960025401601613,0.2847117794486216,0.29529340592861464,0.3034278868063913,0.33718675388955754,0.33718675388955754,0.12424375358073732
DEV,sine_laplace,M3_RandomForest,160,10,0.22424242424242422,0.37251605439802826,0.07173367498188042,0.23750552852720033,0.26916998378298684,0.2793753135764986,0.28656331392426193,0.28656331392426193,0.060696290474474716
DEV,sine_student_t3,M3_RandomForest,160,10,0.1515151515151515,0.1769567514027735,0.09332213848727289,0.202020202020202,0.2521212121212121,0.2706709956709956,0.2787921553438794,0.2787921553438794,0.09566604623350951
DEV,sine_student_t8,M3_RandomForest,160,10,-0.01818181818181818,0.02083719615160353,0.09208917395492937,0.4100912506709608,0.4033983008495752,0.3984563363479551,0.39876506907836407,0.39876506907836407,-0.011618950932486521
DEV,softsign_gaussian,M3_RandomForest,160,10,0.33333333333333326,0.36619608057382774,0.07452944665199093,0.35570937268730135,0.38409229027904745,0.4053257466924699,0.40551059735397593,0.40551059735397593,0.05281811921731884
DEV,softsign_laplace,M3_RandomForest,160,10,0.8303030303030302,0.6575073605624301,0.07850696426297951,0.10356310356310361,0.1643023643023643,0.23055093055093057,0.23904779051120517,0.23904779051120517,0.3126798455195813
DEV,softsign_student_t3,M3_RandomForest,160,10,0.6242424242424242,0.7110632568686976,0.08120889042427393,0.10103785103785105,0.10824175824175823,0.15233155002891846,0.1832938114517062,0.1832938114517062,0.4094631052490416
DEV,softsign_student_t8,M3_RandomForest,160,10,0.8909090909090909,0.903531977586309,0.055313046520578425,0.2048975512243878,0.21177227763289572,0.28341827958116583,0.32567079387769865,0.32567079387769865,0.3497351263484069
DEV,MACRO,M3_RandomForest,160,80,0.46969696969696967,0.5009964308695121,0.07453794866249021,0.23744207989745358,0.2610489491423068,0.29044462990691566,0.3068537856788311,0.3068537856788311,0.17421041696132297
DEV,sine_gaussian,M4_HistGradientBoosting,160,10,0.7333333333333332,0.7395995812545828,0.0528674072222574,0.24236453201970445,0.27967371153133114,0.32052190390040836,0.33718675388955743,0.33718675388955743,0.1705673241750896
DEV,sine_laplace,M4_HistGradientBoosting,160,10,0.4424242424242424,0.6342479532235215,0.06461125655916977,0.23750552852720033,0.24341075813265417,0.28354198024316524,0.28656331392426193,0.28656331392426193,0.1505864627284876
DEV,sine_student_t3,M4_HistGradientBoosting,160,10,0.10303030303030303,0.026349393590938977,0.10475015061034339,0.3376623376623376,0.2521212121212121,0.2706709956709956,0.2787921553438794,0.2787921553438794,0.09566604623350951
DEV,sine_student_t8,M4_HistGradientBoosting,160,10,-0.04242424242424241,-0.07193702157384851,0.09849274754875667,0.3883798841320081,0.4033983008495753,0.4078766262030275,0.39876506907836407,0.39876506907836407,-0.0116189509324868
DEV,softsign_gaussian,M4_HistGradientBoosting,160,10,0.43030303030303024,0.415832194774281,0.06754961245147995,0.35570937268730135,0.3734256236123808,0.40532574669246996,0.405510597353976,0.405510597353976,0.07912240506402292
DEV,softsign_laplace,M4_HistGradientBoosting,160,10,0.7939393939393938,0.6247863333607815,0.08805936448677734,0.10356310356310361,0.1643023643023643,0.23055093055093057,0.23904779051120517,0.23904779051120517,0.3126798455195813
DEV,softsign_student_t3,M4_HistGradientBoosting,160,10,0.6606060606060605,0.6602236737912411,0.09983243205020985,0.07326007326007326,0.14062271062271062,0.17122252747252747,0.18329381145170617,0.18329381145170617,0.23280164502574294
DEV,softsign_student_t8,M4_HistGradientBoosting,160,10,0.7818181818181817,0.8329228932508005,0.0655879953300124,0.22344827586206895,0.22570776150386346,0.28341827958116583,0.32567079387769865,0.32567079387769865,0.30694503238560283
DEV,MACRO,M4_HistGradientBoosting,160,80,0.4878787878787878,0.48275312520903735,0.08021887078237586,0.24523663846422472,0.2603328053345115,0.2966411237893364,0.3068537856788311,0.3068537856788311,0.16709372627494373
