task_id,split,domain,mechanism,noise,task_index,graph_seed,N,D,lambda,generator_mechanism,dataset_path
train_linear_laplace_000,train,linear_laplace,linear,laplace,0,400000,1000,10,0.0,rff,cache/datasets/train_linear_laplace_000.npz
train_linear_laplace_001,train,linear_laplace,linear,laplace,1,400001,1000,10,0.0,rff,cache/datasets/train_linear_laplace_001.npz
train_linear_laplace_002,train,linear_laplace,linear,laplace,2,400002,1000,10,0.0,rff,cache/datasets/train_linear_laplace_002.npz
train_linear_laplace_003,train,linear_laplace,linear,laplace,3,400003,1000,10,0.0,rff,cache/datasets/train_linear_laplace_003.npz
train_linear_laplace_004,train,linear_laplace,linear,laplace,4,400004,1000,10,0.0,rff,cache/datasets/train_linear_laplace_004.npz
train_linear_laplace_005,train,linear_laplace,linear,laplace,5,400005,1000,10,0.0,rff,cache/datasets/train_linear_laplace_005.npz
train_linear_laplace_006,train,linear_laplace,linear,laplace,6,400006,1000,10,0.0,rff,cache/datasets/train_linear_laplace_006.npz
train_linear_laplace_007,train,linear_laplace,linear,laplace,7,400007,1000,10,0.0,rff,cache/datasets/train_linear_laplace_007.npz
train_linear_laplace_008,train,linear_laplace,linear,laplace,8,400008,1000,10,0.0,rff,cache/datasets/train_linear_laplace_008.npz
train_linear_laplace_009,train,linear_laplace,linear,laplace,9,400009,1000,10,0.0,rff,cache/datasets/train_linear_laplace_009.npz
train_linear_gaussian_000,train,linear_gaussian,linear,gaussian,0,400010,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_000.npz
train_linear_gaussian_001,train,linear_gaussian,linear,gaussian,1,400011,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_001.npz
train_linear_gaussian_002,train,linear_gaussian,linear,gaussian,2,400012,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_002.npz
train_linear_gaussian_003,train,linear_gaussian,linear,gaussian,3,400013,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_003.npz
train_linear_gaussian_004,train,linear_gaussian,linear,gaussian,4,400014,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_004.npz
train_linear_gaussian_005,train,linear_gaussian,linear,gaussian,5,400015,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_005.npz
train_linear_gaussian_006,train,linear_gaussian,linear,gaussian,6,400016,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_006.npz
train_linear_gaussian_007,train,linear_gaussian,linear,gaussian,7,400017,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_007.npz
train_linear_gaussian_008,train,linear_gaussian,linear,gaussian,8,400018,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_008.npz
train_linear_gaussian_009,train,linear_gaussian,linear,gaussian,9,400019,1000,10,0.0,rff,cache/datasets/train_linear_gaussian_009.npz
train_linear_student_t8_000,train,linear_student_t8,linear,student_t8,0,400020,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_000.npz
train_linear_student_t8_001,train,linear_student_t8,linear,student_t8,1,400021,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_001.npz
train_linear_student_t8_002,train,linear_student_t8,linear,student_t8,2,400022,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_002.npz
train_linear_student_t8_003,train,linear_student_t8,linear,student_t8,3,400023,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_003.npz
train_linear_student_t8_004,train,linear_student_t8,linear,student_t8,4,400024,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_004.npz
train_linear_student_t8_005,train,linear_student_t8,linear,student_t8,5,400025,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_005.npz
train_linear_student_t8_006,train,linear_student_t8,linear,student_t8,6,400026,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_006.npz
train_linear_student_t8_007,train,linear_student_t8,linear,student_t8,7,400027,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_007.npz
train_linear_student_t8_008,train,linear_student_t8,linear,student_t8,8,400028,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_008.npz
train_linear_student_t8_009,train,linear_student_t8,linear,student_t8,9,400029,1000,10,0.0,rff,cache/datasets/train_linear_student_t8_009.npz
train_linear_student_t3_000,train,linear_student_t3,linear,student_t3,0,400030,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_000.npz
train_linear_student_t3_001,train,linear_student_t3,linear,student_t3,1,400031,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_001.npz
train_linear_student_t3_002,train,linear_student_t3,linear,student_t3,2,400032,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_002.npz
train_linear_student_t3_003,train,linear_student_t3,linear,student_t3,3,400033,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_003.npz
train_linear_student_t3_004,train,linear_student_t3,linear,student_t3,4,400034,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_004.npz
train_linear_student_t3_005,train,linear_student_t3,linear,student_t3,5,400035,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_005.npz
train_linear_student_t3_006,train,linear_student_t3,linear,student_t3,6,400036,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_006.npz
train_linear_student_t3_007,train,linear_student_t3,linear,student_t3,7,400037,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_007.npz
train_linear_student_t3_008,train,linear_student_t3,linear,student_t3,8,400038,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_008.npz
train_linear_student_t3_009,train,linear_student_t3,linear,student_t3,9,400039,1000,10,0.0,rff,cache/datasets/train_linear_student_t3_009.npz
train_tanh_laplace_000,train,tanh_laplace,tanh,laplace,0,400040,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_000.npz
train_tanh_laplace_001,train,tanh_laplace,tanh,laplace,1,400041,1000,10,1.0,tanh,cache/datasets/train_tanh_laplace_001.npz
